Diagnoser i sluten vård, Vårdtillfällen/100 000 inv, Riket, Ålder: 0-85+
År;Kön;Ålder;A39 Meningokockinfektion;A40 Sepsis orsakad av streptokocker;A41 Annan sepsis
2016;Män;0­4;1,31;6,24;26,92
2016;Män;5­9;0,00;1,63;6,21
2016;Män;10­14;0,35;0,70;8,46
2016;Män;15­19;0,37;3,29;5,11
2016;Män;20­24;0,60;0,90;6,57
2016;Män;25­29;1,12;0,84;7,00
2016;Män;30­34;0,00;2,16;9,25
2016;Män;35­39;0,00;2,55;11,82
2016;Män;40­44;0,00;6,97;25,14
2016;Män;45­49;0,30;3,88;32,50
2016;Män;50­54;1,20;6,31;41,74
2016;Män;55­59;0,00;12,31;80,67
2016;Män;60­64;0,71;16,79;106,83
2016;Män;65­69;0,00;24,41;187,57
2016;Män;70­74;0,00;32,62;312,58
2016;Män;75­79;0,00;54,09;452,80
2016;Män;80­84;1,89;90,96;775,04
2016;Män;85+;2,23;128,15;1319,40
2016;Kvinnor;0­4;1,74;8,71;19,51
2016;Kvinnor;5­9;0,00;2,08;6,92
2016;Kvinnor;10­14;0,00;0,74;4,09
2016;Kvinnor;15­19;1,59;0,79;13,08
2016;Kvinnor;20­24;1,59;3,19;9,24
2016;Kvinnor;25­29;0,00;2,94;8,24
2016;Kvinnor;30­34;0,00;0,98;13,07
2016;Kvinnor;35­39;0,00;2,67;13,01
2016;Kvinnor;40­44;0,94;4,38;17,20
2016;Kvinnor;45­49;0,00;3,07;18,13
2016;Kvinnor;50­54;0,62;6,20;34,41
2016;Kvinnor;55­59;0,00;6,24;56,20
2016;Kvinnor;60­64;0,36;11,40;73,76
2016;Kvinnor;65­69;0,00;15,29;101,95
2016;Kvinnor;70­74;1,49;22,76;177,98
2016;Kvinnor;75­79;0,54;36,98;256,16
2016;Kvinnor;80­84;0,72;50,16;404,84
2016;Kvinnor;85+;2,95;72,01;674,03
2015;Män;0­4;1,00;3,32;22,59
2015;Män;5­9;0,00;2,01;9,72
