Diagnoser i sluten vård, Vårdtillfällen/100 000 inv, Riket, Ålder: 0-85+
År;Kön;Ålder;J00­J06 Akuta infektioner i övre luftvägarna;J09­J18 Influensa och lunginflammation;J20­J22 Andra akuta infektioner i nedre luftvägarna
2016;Män;0­4;467,52;374,60;625,11
2016;Män;5­9;92,82;92,16;17,65
2016;Män;10­14;45,12;53,93;4,58
2016;Män;15­19;56,61;80,72;2,56
2016;Män;20­24;48,12;76,21;5,98
2016;Män;25­29;36,12;74,21;4,76
2016;Män;30­34;38,25;114,45;6,17
2016;Män;35­39;31,94;122,63;5,11
2016;Män;40­44;32,41;142,37;8,18
2016;Män;45­49;26,24;168,19;9,84
2016;Män;50­54;34,83;204,19;10,81
2016;Män;55­59;35,21;319,94;18,46
2016;Män;60­64;41,09;473,78;25,01
2016;Män;65­69;55,09;791,08;40,79
2016;Män;70­74;86,20;1222,75;53,58
2016;Män;75­79;125,81;2087,75;89,34
2016;Män;80­84;217,92;3538,83;182,86
2016;Män;85+;332,08;6962,49;323,16
2016;Kvinnor;0­4;343,16;335,49;454,64
2016;Kvinnor;5­9;71,97;104,84;11,76
2016;Kvinnor;10­14;33,12;44,65;2,23
2016;Kvinnor;15­19;85,63;65,02;6,34
2016;Kvinnor;20­24;70,77;85,11;7,65
2016;Kvinnor;25­29;52,95;95,90;5,29
2016;Kvinnor;30­34;53,93;109,82;5,23
2016;Kvinnor;35­39;41,02;132,41;7,67
2016;Kvinnor;40­44;38,16;120,72;5,94
2016;Kvinnor;45­49;32,27;141,38;8,61
2016;Kvinnor;50­54;31,00;196,24;12,09
2016;Kvinnor;55­59;38,51;326,45;13,53
2016;Kvinnor;60­64;37,77;417,59;17,10
2016;Kvinnor;65­69;49,27;575,99;47,23
2016;Kvinnor;70­74;66,04;911,92;48,88
2016;Kvinnor;75­79;95,93;1376,74;90,03
2016;Kvinnor;80­84;146,17;2092,99;149,04
2016;Kvinnor;85+;252,61;4141,55;295,11
2015;Män;0­4;516,97;351,85;685,75
2015;Män;5­9;89,16;78,43;12,74
2015;Män;10­14;41,56;40,83;3,65
2015;Män;15­19;57,71;64,70;2,94
2015;Män;20­24;55,95;67,08;4,98
2015;Män;25­29;37,12;71,61;2,92
2015;Män;30­34;35,22;83,76;5,39
2015;Män;35­39;37,82;107,63;6,79
2015;Män;40­44;34,52;130,22;7,27
2015;Män;45­49;31,00;146,42;9,74
2015;Män;50­54;39,85;182,43;13,07
2015;Män;55­59;36,65;282,95;17,81
2015;Män;60­64;49,02;512,02;33,28
2015;Män;65­69;59,28;775,72;39,52
2015;Män;70­74;87,00;1250,52;76,69
2015;Män;75­79;135,72;2153,80;123,72
2015;Män;80­84;202,16;3822,68;207,96
