"kön","ålder","Risktid 2015","Antal döda 2015"
"män","0 år",59502,166
"män","1 år",60065,10
"män","2 år",60050,13
"män","3 år",60029,4
"män","4 år",61053,8
"män","5 år",61531,3
"män","6 år",60387,7
"män","7 år",59668,4
"män","8 år",59024,1
"män","9 år",57747,2
"män","10 år",56807,3
"män","11 år",56373,4
"män","12 år",55088,6
"män","13 år",53397,5
"män","14 år",52613,6
"män","15 år",52165,7
"män","16 år",52450,10
"män","17 år",53741,16
"män","18 år",55276,19
"män","19 år",58407,33
"män","20 år",62484,40
"män","21 år",65748,40
"män","22 år",68821,44
"män","23 år",71431,44
"män","24 år",72908,61
"män","25 år",71825,64
"män","26 år",69954,58
"män","27 år",68002,54
"män","28 år",66316,50
"män","29 år",66015,48
"män","30 år",64630,47
"män","31 år",63020,34
"män","32 år",62508,44
"män","33 år",62251,60
"män","34 år",62775,40
"män","35 år",63026,59
"män","36 år",61157,53
"män","37 år",60670,54
"män","38 år",61536,40
"män","39 år",62999,51
"män","40 år",65415,67
"män","41 år",66257,65
"män","42 år",66143,75
"män","43 år",66672,72
"män","44 år",65731,73
"män","45 år",64381,80
"män","46 år",65187,81
"män","47 år",68270,120
"män","48 år",70349,124
"män","49 år",70557,147
"män","50 år",70163,159
"män","51 år",67611,153
"män","52 år",63598,199
"män","53 år",60764,207
"män","54 år",59089,223
"män","55 år",58661,236
"män","56 år",58536,254
"män","57 år",58321,284
"män","58 år",58537,322
"män","59 år",57870,331
"män","60 år",56294,368
"män","61 år",56178,379
"män","62 år",56219,440
"män","63 år",55117,483
"män","64 år",55674,541
"män","65 år",57430,616
"män","66 år",58622,726
"män","67 år",59289,759
"män","68 år",59329,819
"män","69 år",58863,901
"män","70 år",57416,978
"män","71 år",53971,1129
"män","72 år",49115,1045
"män","73 år",43388,1014
"män","74 år",38650,1047
"män","75 år",36595,1128
"män","76 år",34463,1101
"män","77 år",31625,1153
"män","78 år",29041,1279
"män","79 år",26695,1271
"män","80 år",24165,1392
"män","81 år",21926,1331
"män","82 år",20633,1423
"män","83 år",19137,1505
"män","84 år",17523,1599
"män","85 år",15538,1689
"män","86 år",13755,1657
"män","87 år",11966,1617
"män","88 år",10183,1575
"män","89 år",8757,1566
"män","90 år",7205,1370
"män","91 år",5839,1306
"män","92 år",4524,1140
"män","93 år",3452,970
"män","94 år",2683,791
"män","95 år",1777,661
"män","96 år",1065,360
"män","97 år",698,290
"män","98 år",434,192
"män","99 år",232,123
"män","100 år",143,73
"män","101 år",94,41
"män","102 år",45,27
"män","103 år",19,11
"män","104 år",8,8
"män","105 år",3,2
"män","106 år",3,1
"män","107 år",4,2
"män","108 år",1,1
"män","109 år",0,1
"män","110 år",0,0
"kvinnor","0 år",55368,116
"kvinnor","1 år",56688,11
"kvinnor","2 år",56708,6
"kvinnor","3 år",56863,3
"kvinnor","4 år",57855,4
"kvinnor","5 år",58139,0
"kvinnor","6 år",56927,6
"kvinnor","7 år",56246,5
"kvinnor","8 år",55838,5
"kvinnor","9 år",54861,5
"kvinnor","10 år",53883,11
"kvinnor","11 år",53371,2
"kvinnor","12 år",52430,2
"kvinnor","13 år",50644,8
"kvinnor","14 år",49431,10
"kvinnor","15 år",48983,3
"kvinnor","16 år",48811,11
"kvinnor","17 år",49443,2
"kvinnor","18 år",51251,10
"kvinnor","19 år",54329,12
"kvinnor","20 år",58581,15
"kvinnor","21 år",62231,16
"kvinnor","22 år",65044,11
"kvinnor","23 år",67466,18
"kvinnor","24 år",69277,18
"kvinnor","25 år",68702,15
"kvinnor","26 år",66880,19
"kvinnor","27 år",65256,18
"kvinnor","28 år",63670,19
"kvinnor","29 år",62467,23
"kvinnor","30 år",60940,16
"kvinnor","31 år",59447,23
"kvinnor","32 år",59169,23
"kvinnor","33 år",59335,24
"kvinnor","34 år",60152,28
"kvinnor","35 år",60305,15
"kvinnor","36 år",58707,20
"kvinnor","37 år",58265,24
"kvinnor","38 år",59067,28
"kvinnor","39 år",60741,23
"kvinnor","40 år",63297,33
"kvinnor","41 år",64242,32
"kvinnor","42 år",64363,42
"kvinnor","43 år",64845,46
"kvinnor","44 år",64066,47
"kvinnor","45 år",62689,45
"kvinnor","46 år",63457,66
"kvinnor","47 år",66126,65
"kvinnor","48 år",67664,77
"kvinnor","49 år",67906,105
"kvinnor","50 år",67990,105
"kvinnor","51 år",65391,114
"kvinnor","52 år",61498,103
"kvinnor","53 år",59212,116
"kvinnor","54 år",57941,115
"kvinnor","55 år",57592,154
"kvinnor","56 år",57397,169
"kvinnor","57 år",57706,189
"kvinnor","58 år",57840,192
"kvinnor","59 år",57294,227
"kvinnor","60 år",56304,262
"kvinnor","61 år",56106,275
"kvinnor","62 år",56349,278
"kvinnor","63 år",55731,336
"kvinnor","64 år",56334,356
"kvinnor","65 år",58262,419
"kvinnor","66 år",60107,467
"kvinnor","67 år",60935,522
"kvinnor","68 år",60921,571
"kvinnor","69 år",60279,679
"kvinnor","70 år",58740,647
"kvinnor","71 år",55855,763
"kvinnor","72 år",51141,720
"kvinnor","73 år",45578,696
"kvinnor","74 år",41361,710
"kvinnor","75 år",39935,843
"kvinnor","76 år",38826,822
"kvinnor","77 år",36496,936
"kvinnor","78 år",34352,945
"kvinnor","79 år",32253,1002
"kvinnor","80 år",30260,1132
"kvinnor","81 år",28758,1257
"kvinnor","82 år",27829,1356
"kvinnor","83 år",26971,1574
"kvinnor","84 år",25851,1617
"kvinnor","85 år",24026,1796
"kvinnor","86 år",22241,1858
"kvinnor","87 år",20407,1923
"kvinnor","88 år",18383,2047
"kvinnor","89 år",16545,2146
"kvinnor","90 år",14505,2089
"kvinnor","91 år",12332,2100
"kvinnor","92 år",10126,1999
"kvinnor","93 år",8485,1898
"kvinnor","94 år",7117,1705
"kvinnor","95 år",5061,1428
"kvinnor","96 år",3297,969
"kvinnor","97 år",2324,781
"kvinnor","98 år",1584,604
"kvinnor","99 år",1021,418
"kvinnor","100 år",654,324
"kvinnor","101 år",407,204
"kvinnor","102 år",240,121
"kvinnor","103 år",151,70
"kvinnor","104 år",77,36
"kvinnor","105 år",40,24
"kvinnor","106 år",18,11
"kvinnor","107 år",8,9
"kvinnor","108 år",7,2
"kvinnor","109 år",4,2
"kvinnor","110 år",2,2
