"Tabell 4A. Döda 2017 efter underliggande dödsorsak enligt ICD:s detaljlista, kön och ålder. Antal",,,,,,,,,,,,,,,,,,,,,,,
"Deaths 2017 by underlying cause of death (ICD detailed list), sex and age. Number.",,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,Ålder,Ålder,,,,,,,,,,,,,,,,,,,
ICD-10,Dödsorsak,Kön,Samtliga,0,1–4,5–9,10–14,15–19,20–24,25–29,30–34,35–39,40–44,45–49,50–54,55–59,60–64,65–69,70–74,75–79,80–84,85–89,90–
A00–Y98,"Samtliga dödsorsaker",Kv,47 142,133,25,19,22,41,65,98,118,123,205,372,603,851,1 462,2 453,3 997,4 820,6 849,9 783,15 103
,,M,44 933,147,24,19,29,88,208,302,243,282,380,542,896,1 289,2 192,3 488,5 449,6 172,7 286,8 087,7 810
"A00 – B99","KAP I. VISSA INFEKTIONS- OCH PARASITSJUKDOMAR",Kv,1 097,3,2,-,1,2,2,3,3,1,-,6,12,8,20,30,49,79,183,278,415
,,M,1 015,2,-,1,1,1,-,1,2,4,7,7,16,18,31,47,86,123,214,225,229
A00–A09,"Infektionssjukdomar utgående från mag-tarmkanalen",Kv,185,2,1,-,-,-,-,-,-,1,-,1,3,1,1,3,4,7,32,39,90
,,M,108,-,-,-,-,-,-,-,-,-,-,-,1,1,5,3,3,11,21,30,33
A02.1,Salmonellasepsis,Kv,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1
,,M,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-
A02.8,"Andra specificerade salmonellainfektioner",M,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-
A04.3,"Infektion med tarmhemorragiska Escherichia coli-bakterier",Kv,1,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
A04.5,"Enterit orsakad av Campylobacter",Kv,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-
A04.6,"Enterit orsakad av Yersinia enterocolitica",Kv,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1
A04.7,"Enterokolit orsakad av Clostridium difficile",Kv,49,-,-,-,-,-,-,-,-,-,-,-,1,-,1,2,1,2,12,10,20
,,M,27,-,-,-,-,-,-,-,-,-,-,-,1,-,1,1,1,4,6,8,5
A04.9,"Bakteriell tarminfektion, ospecificerad",M,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,1,-,-,-
A08.0,"Enterit orsakad av rotavirus",M,3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,2
A08.1,"Akut gastroenteropati orsakad av Norwalk-faktor",Kv,15,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,2,3,9
,,M,12,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,3,4,4
A08.3,"Enterit orsakad av annat specificerat virus",Kv,1,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
A08.4,"Enterit orsakad av icke specificerat virus",Kv,3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,2
,,M,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1
A09.0,"Annan och ospecificerad gastroenterit och kolit av infektiös orsak",Kv,13,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,1,1,2,8
,,M,7,-,-,-,-,-,-,-,-,-,-,-,-,-,2,-,-,1,1,2,1
A09.9,"Gastroenterit och kolit av icke specificerad orsak",Kv,100,1,-,-,-,-,-,-,-,1,-,1,2,1,-,1,2,2,17,23,49
,,M,54,-,-,-,-,-,-,-,-,-,-,-,-,1,2,2,1,3,11,14,20
A15–A19,Tuberkulos,Kv,6,-,-,-,-,-,-,-,-,-,-,-,-,1,-,1,-,1,1,-,2
,,M,8,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,2,-,1,3,1
A15.7,"Primär tuberkulos i andningsorganen, verifierad bakteriologiskt och histologiskt",M,1,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-
A16.2,"Lungtuberkulos, utan uppgift om bakteriologisk eller histologisk verifikation",Kv,3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,1,-,1
,,M,4,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,2,1
A16.9,"Tuberkulos i icke specificerat andningsorgan utan uppgift om bakteriologisk eller histologisk verifikation",Kv,2,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,1
,,M,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,1,-
A19.2,"Icke specificerad akut miliartuberkulos",Kv,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-
A19.9,"Miliartuberkulos, ospecificerad",M,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-
A20–A28,"Vissa djurburna bakteriesjukdomar",Kv,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-
,,M,1,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-
A21.7,"Generaliserad tularemi",M,1,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-
A23.9,"Brucellos, ospecificerad",Kv,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-
A30–A49,"Andra bakteriesjukdomar",Kv,472,1,-,-,1,2,2,2,2,-,-,1,5,1,11,11,20,39,82,133,159
,,M,508,1,-,-,-,-,-,1,1,1,4,4,6,6,12,24,49,65,110,112,112
A31.0,"Mykobakteriell lungaffektion",Kv,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-
A31.9,"Mykobakteriell infektion, ospecificerad",M,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-
A32.1,"Meningit och meningoencefalit orsakad av Listeria",Kv,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-
A32.8,"Andra former av listerios",Kv,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1
A35,"Annan stelkramp",Kv,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1
A39.0,Meningokockmeningit,Kv,3,-,-,-,1,1,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-
A39.2,"Akut meningokockemi",Kv,2,-,-,-,-,-,-,1,1,-,-,-,-,-,-,-,-,-,-,-,-
,,M,3,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,2,-,-
A39.9,"Meningokockinfektion, ospecificerad",Kv,1,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-
A40.0,"Sepsis orsakad av streptokocker grupp A",Kv,4,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,1,1,1
,,M,5,-,-,-,-,-,-,-,-,-,-,1,1,-,-,-,-,-,1,1,1
A40.1,"Sepsis orsakad av streptokocker grupp B",M,2,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1
A40.3,"Sepsis orsakad av Streptococcus pneumoniae",Kv,7,-,-,-,-,-,-,-,-,-,-,-,-,-,1,1,-,1,-,1,3
,,M,6,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,1,1,1,1,1
A40.8,"Annan streptokocksepsis",Kv,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1
,,M,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,1,-,-
A40.9,"Streptokocksepsis, ospecificerad",Kv,4,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,1,-,2
,,M,10,-,-,-,-,-,-,-,-,-,-,-,-,1,-,1,-,1,1,4,2
A41.0,"Sepsis orsakad av Staphylococcus aureus",Kv,21,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,3,4,8,5
,,M,31,-,-,-,-,-,-,-,-,-,-,-,-,1,1,-,4,4,8,9,4
A41.1,"Sepsis orsakad av annan specificerad stafylokock",Kv,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-
,,M,2,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,1
A41.2,"Sepsis orsakad av icke specificerad stafylokock",Kv,15,-,-,-,-,-,-,-,-,-,-,-,-,1,1,1,-,2,3,4,3
,,M,13,-,-,-,-,-,-,-,-,-,-,-,1,-,-,1,1,2,2,3,3
A41.4,"Sepsis orsakad av anaeroba bakterier",Kv,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-
,,M,3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,2
A41.5,"Sepsis orsakad av andra gramnegativa organismer",Kv,21,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,1,2,4,3,10
,,M,17,-,-,-,-,-,-,-,-,1,-,-,-,-,-,1,4,1,2,5,3
A41.8,"Andra specificerade former av sepsis",Kv,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2
A41.9,"Sepsis, ospecificerad",Kv,294,1,-,-,-,1,1,1,1,-,-,1,3,-,7,7,17,24,47,93,90
,,M,339,-,-,-,-,-,-,-,1,-,2,2,2,3,7,17,27,50,74,75,79
A46,Rosfeber,Kv,48,-,-,-,-,-,-,-,-,-,-,-,1,-,-,1,1,2,11,13,19
,,M,26,-,-,-,-,-,-,-,-,-,-,-,2,-,-,-,3,1,11,5,4
A48.1,Legionärsjuka,Kv,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-
,,M,8,-,-,-,-,-,-,-,-,-,-,-,-,-,2,1,2,2,-,1,-
A49.0,"Stafylokockinfektion, ospecificerad lokalisation",Kv,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-
,,M,7,-,-,-,-,-,-,-,-,-,1,-,-,-,-,1,1,-,2,1,1
A49.1,"Streptokock- och enterokockinfektion, ospecificerad lokalisation",Kv,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1
,,M,5,-,-,-,-,-,-,-,-,-,1,-,-,-,-,1,1,-,2,-,-
A49.2,"Haemophilus influenzae-infektion, ospecificerad lokalisation",Kv,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1
A49.8,"Infektion med andra bakterier, ospecificerad lokalisation",Kv,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,1,-,-
,,M,3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,1,1,-,-
A49.9,"Bakterieinfektion, ospecificerad",Kv,37,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,3,6,9,19
,,M,25,-,-,-,-,-,-,-,-,-,-,1,-,1,-,1,3,1,1,7,10
A70–A74,"Andra sjukdomar orsakade av klamydia",M,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-
A70,"Infektion orsakad av Chlamydia psittaci (papegojsjuka)",M,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-
A80–A89,"Virussjukdomar i centrala nervsystemet",Kv,12,-,-,-,-,-,-,-,-,-,-,1,-,-,1,2,5,1,2,-,-
,,M,17,-,-,-,-,-,-,-,-,-,1,-,-,1,2,1,3,4,4,1,-
A81.0,"Creutzfeldt-Jakobs sjukdom",Kv,11,-,-,-,-,-,-,-,-,-,-,1,-,-,1,2,5,-,2,-,-
,,M,10,-,-,-,-,-,-,-,-,-,-,-,-,1,1,1,1,3,3,-,-
A81.2,"Progressiv multifokal leukoencefalopati",M,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-
A84.9,"Virusencefalit överförd av fästingar, ospecificerad",Kv,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-
,,M,4,-,-,-,-,-,-,-,-,-,1,-,-,-,1,-,-,1,1,-,-
A86,"Icke specificerad virusencefalit",M,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,1,-
B00–B09,"Virussjukdomar med hudutslag och slemhinneutslag",Kv,12,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,5,5
