Antal nya cancerfall per 100 000 personer (crude rate), Ålder: 0-85+, Riket, Diagnos:162 Lunga, luftstrupe och bronker, oavsett tumörtyp
År;Ålder;Män;Kvinnor
2017;0­4;0,00;0,00
2017;5­9;0,00;0,00
2017;10­14;0,00;0,00
2017;15­19;0,00;0,00
2017;20­24;0,31;0,33
2017;25­29;0,27;0,00
2017;30­34;0,60;1,26
2017;35­39;1,57;1,64
2017;40­44;2,74;2,84
2017;45­49;6,60;9,87
2017;50­54;12,24;22,30
2017;55­59;27,52;34,18
2017;60­64;68,51;85,51
2017;65­69;118,71;134,77
2017;70­74;182,91;202,31
2017;75­79;239,74;204,04
2017;80­84;249,58;150,36
2017;85+;138,51;82,72
2016;0­4;0,00;0,00
2016;5­9;0,00;0,00
2016;10­14;0,00;0,37
2016;15­19;0,00;0,00
2016;20­24;0,00;0,00
2016;25­29;0,28;1,18
2016;30­34;1,23;1,31
2016;35­39;0,96;2,00
2016;40­44;2,12;2,81
2016;45­49;6,56;9,53
2016;50­54;14,71;18,29
2016;55­59;35,21;49,96
2016;60­64;75,75;88,72
2016;65­69;126,56;133,21
2016;70­74;200,36;210,82
2016;75­79;221,84;216,51
2016;80­84;251,08;165,52
2016;85+;125,92;76,73
2015;0­4;0,00;0,00
2015;5­9;0,00;0,00
2015;10­14;0,00;0,00
2015;15­19;0,74;0,40
2015;20­24;0,88;0,62
2015;25­29;0,29;0,00
2015;30­34;0,95;0,33
2015;35­39;2,59;1,68
2015;40­44;3,33;3,12
2015;45­49;5,90;8,54
2015;50­54;13,39;22,11
2015;55­59;36,31;46,21
2015;60­64;85,87;99,71
2015;65­69;139,34;159,40
2015;70­74;214,40;206,59
2015;75­79;248,08;186,96
2015;80­84;264,07;163,96
2015;85+;141,37;69,21
2014;0­4;0,00;0,00
2014;5­9;0,00;0,00
2014;10­14;0,00;0,00
2014;15­19;0,00;0,00
2014;20­24;0,00;0,00
2014;25­29;0,61;0,32
2014;30­34;0,97;0,00
2014;35­39;2,59;1,34
2014;40­44;2,45;3,14
2014;45­49;6,11;12,34
2014;50­54;17,11;20,23
2014;55­59;32,01;54,68
2014;60­64;78,87;102,05
2014;65­69;135,78;143,56
2014;70­74;218,32;211,53
2014;75­79;262,58;198,04
2014;80­84;252,53;145,76
2014;85+;142,21;78,31
2013;0­4;0,00;0,00
2013;5­9;0,00;0,00
2013;10­14;0,00;0,00
2013;15­19;0,35;0,37
2013;20­24;0,00;0,61
2013;25­29;0,32;1,32
2013;30­34;0,98;1,37
2013;35­39;0,96;2,33
2013;40­44;5,24;3,48
2013;45­49;6,37;11,39
2013;50­54;18,27;20,78
2013;55­59;38,69;42,92
2013;60­64;85,80;94,87
2013;65­69;144,98;154,12
2013;70­74;217,37;169,47
2013;75­79;259,31;178,35
2013;80­84;241,71;166,01
2013;85+;137,35;63,66
2012;0­4;0,00;0,36
2012;5­9;0,00;0,00
2012;10­14;0,79;0,00
2012;15­19;0,00;0,00
2012;20­24;0,30;0,00
2012;25­29;0,32;0,34
2012;30­34;0,33;1,04
2012;35­39;0,63;2,62
2012;40­44;3,07;2,52
2012;45­49;8,21;9,73
2012;50­54;17,54;30,34
2012;55­59;39,08;52,76
2012;60­64;97,62;89,04
2012;65­69;159,78;151,92
2012;70­74;206,02;163,28
2012;75­79;235,31;187,04
2012;80­84;250,73;150,98
2012;85+;149,28;72,59
2011;0­4;0,00;0,00
2011;5­9;0,00;0,00
2011;10­14;0,00;0,00
2011;15­19;0,32;0,00
2011;20­24;0,61;0,96
2011;25­29;0,00;0,35
2011;30­34;1,01;1,75
2011;35­39;1,87;2,26
2011;40­44;2,73;4,07
2011;45­49;10,24;11,24
2011;50­54;19,97;30,43
2011;55­59;46,22;50,49
2011;60­64;98,10;90,45
2011;65­69;154,59;159,03
2011;70­74;212,85;174,91
2011;75­79;263,77;177,06
2011;80­84;261,39;141,70
2011;85+;151,86;66,08
2010;0­4;0,00;0,37
2010;5­9;0,00;0,00
2010;10­14;0,00;0,00
2010;15­19;0,31;0,00
2010;20­24;0,95;0,33
2010;25­29;1,01;1,07
2010;30­34;1,01;0,00
2010;35­39;2,79;0,96
2010;40­44;3,29;4,03
2010;45­49;5,29;10,31
2010;50­54;19,95;30,08
2010;55­59;44,12;53,93
2010;60­64;98,02;107,18
2010;65­69;160,64;140,19
