measure,location,sex,age,cause,metric,year,val,upper,lower
1,23,1,25,493,3,2017,609.658791360115,731.4360238264823,502.12579301096105
1,23,2,25,493,3,2017,229.3095644936175,276.94165479172307,182.92767744033432
1,48,1,25,493,3,2017,419.59157563636313,456.0833614455824,382.350092355427
1,48,2,25,493,3,2017,141.56893799389542,156.69757630050677,128.70073319481023
1,74,1,25,493,3,2017,124.20378946245971,149.2071822936552,103.05267504171077
1,74,2,25,493,3,2017,24.880458186680734,32.87758091058149,18.664085671737293
1,305,1,25,493,3,2017,189.7754279270659,207.25244351571334,172.6694277718316
1,305,2,25,493,3,2017,33.21659803628476,39.866192617698495,27.63368960372905
1,149,1,25,493,3,2017,328.83592855288515,363.8871022744455,297.63647131788196
1,149,2,25,493,3,2017,193.14925952371414,215.1045187047785,172.15014790851635
1,99,1,25,493,3,2017,191.2091851536124,220.14565555573094,165.26608157699272
1,99,2,25,493,3,2017,62.447719767604035,73.83417623469187,51.81264848267413
1,24,1,25,493,3,2017,779.1501900732765,942.7186968356262,638.91743498247
1,24,2,25,493,3,2017,377.02859474762266,464.77977925362893,297.65285546144014
1,175,1,25,493,3,2017,247.6838964374557,315.3051334854427,188.58013396645921
1,175,2,25,493,3,2017,175.77212621379874,239.6189865150753,125.35669000347893
1,49,1,25,493,3,2017,318.57770794591846,356.9773622640335,281.29371048334497
1,49,2,25,493,3,2017,128.16132055559063,148.8270440680704,109.03330262401288
1,522,1,25,493,3,2017,572.1236357788064,768.6631497014057,422.17727409424043
1,522,2,25,493,3,2017,369.89409167486855,500.65969244770855,261.8261329711086
1,201,1,25,493,3,2017,298.5261465005392,364.79602032073916,241.48048853748998
1,201,2,25,493,3,2017,139.87236483474334,179.47113063054476,106.86330061063589
1,50,1,25,493,3,2017,387.5736470541392,450.33599176407876,336.9515125589019
1,50,2,25,493,3,2017,132.8908439531411,154.8832657706326,113.55492557261913
1,125,1,25,493,3,2017,149.712737786038,174.2084825799365,129.16256206562676
1,125,2,25,493,3,2017,73.47076532955542,86.64709292657675,62.01387175421159
1,151,1,25,493,3,2017,155.83566551706264,190.97737311228272,123.31140265485489
1,151,2,25,493,3,2017,87.71731239167083,109.68385889690067,69.95408026307993
1,101,1,25,493,3,2017,142.93945960123818,156.59538199860194,130.24831160435969
1,101,2,25,493,3,2017,43.14529147890669,48.503941363289094,38.25530239214949
1,25,1,25,493,3,2017,636.3106304046357,757.4548050611347,526.5368575982969
1,25,2,25,493,3,2017,293.2050286036384,364.99964535844435,236.8180726498312
1,75,1,25,493,3,2017,139.2752210407884,152.60193324346034,126.39564570628124
1,75,2,25,493,3,2017,39.50841245458254,44.65062261036541,35.21887691428584
1,150,1,25,493,3,2017,354.96618245043754,444.9811675092868,271.25960206134823
1,150,2,25,493,3,2017,220.69817016446441,276.08581940093114,164.7196053866505
1,26,1,25,493,3,2017,845.8836088217804,1056.6258382480933,675.2487203075093
1,26,2,25,493,3,2017,449.9712168596393,553.8728221070606,358.732137286382
1,76,1,25,493,3,2017,117.19119218667443,129.591406272959,105.58684256180159
1,76,2,25,493,3,2017,36.21803109579938,41.5125167760212,31.973414876399744
1,152,1,25,493,3,2017,326.9026875812583,387.8181766911547,276.0251151706171
1,152,2,25,493,3,2017,196.8427650120216,232.77839383549008,166.55304914865516
1,349,1,25,493,3,2017,237.02320399582288,260.87472007088803,211.3417726941568
1,349,2,25,493,3,2017,61.883200214975815,75.29844627341919,50.880830388984904
1,51,1,25,493,3,2017,332.5855200352641,364.66219807372886,305.9003439049925
1,51,2,25,493,3,2017,90.40965963925439,100.54360995870238,80.45403170709108
1,102,1,25,493,3,2017,222.08220846192955,231.05984092013287,213.9442763712677
1,102,2,25,493,3,2017,89.68226831759642,93.87828070578044,85.25014500432506
1,177,1,25,493,3,2017,300.4329849119038,398.4529775292003,213.5819867840202
1,177,2,25,493,3,2017,139.85409341551448,206.43336671926798,91.73955356988169
1,202,1,25,493,3,2017,192.6093784229545,266.1427912110551,133.99542395820654
1,202,2,25,493,3,2017,132.5501437941137,191.92137860105626,90.62826998075151
1,126,1,25,493,3,2017,198.85633127913422,217.92235349508064,180.74244974871374
1,126,2,25,493,3,2017,66.71364176224796,75.40251658145463,59.36679571215732
1,27,1,25,493,3,2017,408.7156642325107,475.95004339950066,334.72135216222534
1,27,2,25,493,3,2017,204.2987121055131,250.0554670537377,164.86881828693924
1,176,1,25,493,3,2017,276.4980323285133,349.8346752612177,206.7036064051299
1,176,2,25,493,3,2017,176.49837639106093,234.384048353546,131.68906718328705
1,154,1,25,493,3,2017,354.349531373677,452.5999533324851,267.8334200477907
1,154,2,25,493,3,2017,152.92727320556574,202.1674139323598,111.78433970463783
1,7,1,25,493,3,2017,256.8931601416509,317.1580788089388,198.03137474868694
1,7,2,25,493,3,2017,118.02002854119989,152.0390888509964,87.0463619193291
1,153,1,25,493,3,2017,654.4801578126524,818.9484076300104,520.2721646913325
1,153,2,25,493,3,2017,306.41891045612397,363.7088423687394,235.64166399684026
1,129,1,25,493,3,2017,274.8903473724731,354.21607552457107,206.98836236931797
1,129,2,25,493,3,2017,240.42419927755407,307.3111847195858,179.69807028957499
1,178,1,25,493,3,2017,282.1237397676642,359.1196611580586,217.26946243109265
1,178,2,25,493,3,2017,155.93496570086367,203.58159345247668,110.84107161837174
1,28,1,25,493,3,2017,642.8663910283528,748.7053624753944,544.5755894297474
1,28,2,25,493,3,2017,368.768206546422,437.98261721232416,315.1772780536865
1,376,1,25,493,3,2017,259.3291470431883,302.3927730970774,219.3201950972208
1,376,2,25,493,3,2017,90.14126929079266,105.92266991275596,76.33154348271792
1,105,1,25,493,3,2017,145.3237128756644,164.0371423374816,128.35339848486478
1,105,2,25,493,3,2017,85.46765020400856,98.02525840291057,74.24091041644328
1,180,1,25,493,3,2017,194.21887783443714,236.2437533855896,160.8684372589089
1,180,2,25,493,3,2017,101.22547704282397,120.2357767515537,80.30901246868882
1,351,1,25,493,3,2017,560.6009354974667,618.4399513292203,505.9507496095779
1,351,2,25,493,3,2017,278.0547140011068,310.05235341746743,247.0833443752372
1,106,1,25,493,3,2017,240.9742323619734,272.61401185550295,213.45551137164315
1,106,2,25,493,3,2017,103.28641902648256,120.43347453711438,87.6867289770851
1,130,1,25,493,3,2017,193.13564356291778,200.2891307375233,186.15942190759444
