ålder	kön	år	Medelfolkmängd (ålder under året)
0 år	män	2019	59754.0
0 år	kvinnor	2019	56357.0
1 år	män	2019	60983.0
1 år	kvinnor	2019	57786.0
2 år	män	2019	62479.5
2 år	kvinnor	2019	59298.0
3 år	män	2019	63497.5
3 år	kvinnor	2019	59754.0
4 år	män	2019	63587.5
4 år	kvinnor	2019	59611.5
5 år	män	2019	63624.0
5 år	kvinnor	2019	59898.0
6 år	män	2019	63480.0
6 år	kvinnor	2019	59936.0
7 år	män	2019	63438.5
7 år	kvinnor	2019	60075.5
8 år	män	2019	64399.5
8 år	kvinnor	2019	60910.0
9 år	män	2019	64817.5
9 år	kvinnor	2019	61199.5
10 år	män	2019	63715.0
10 år	kvinnor	2019	60036.5
11 år	män	2019	62967.0
11 år	kvinnor	2019	59280.5
12 år	män	2019	62254.0
12 år	kvinnor	2019	58746.0
13 år	män	2019	61012.0
13 år	kvinnor	2019	57728.5
14 år	män	2019	60050.5
14 år	kvinnor	2019	56598.5
15 år	män	2019	59650.5
15 år	kvinnor	2019	56010.0
16 år	män	2019	58713.0
16 år	kvinnor	2019	55132.5
17 år	män	2019	57799.5
17 år	kvinnor	2019	53363.0
18 år	män	2019	58226.0
18 år	kvinnor	2019	52465.5
19 år	män	2019	60548.0
19 år	kvinnor	2019	52303.0
20 år	män	2019	61745.5
20 år	kvinnor	2019	52098.5
21 år	män	2019	59002.0
21 år	kvinnor	2019	52727.0
22 år	män	2019	59268.5
22 år	kvinnor	2019	54864.5
23 år	män	2019	63081.0
23 år	kvinnor	2019	58635.5
24 år	män	2019	67799.0
24 år	kvinnor	2019	63424.5
25 år	män	2019	71454.0
25 år	kvinnor	2019	67571.0
26 år	män	2019	74710.0
26 år	kvinnor	2019	70618.0
27 år	män	2019	77457.0
27 år	kvinnor	2019	72970.0
28 år	män	2019	78940.0
28 år	kvinnor	2019	74745.5
29 år	män	2019	77905.5
29 år	kvinnor	2019	74138.0
30 år	män	2019	75817.5
30 år	kvinnor	2019	72056.0
31 år	män	2019	73505.0
31 år	kvinnor	2019	70125.0
32 år	män	2019	71449.0
32 år	kvinnor	2019	68250.0
33 år	män	2019	70871.5
33 år	kvinnor	2019	66825.5
34 år	män	2019	69175.0
34 år	kvinnor	2019	64941.5
35 år	män	2019	67091.5
35 år	kvinnor	2019	63229.0
36 år	män	2019	66269.5
36 år	kvinnor	2019	62607.5
37 år	män	2019	65697.5
37 år	kvinnor	2019	62370.0
38 år	män	2019	65932.5
38 år	kvinnor	2019	63112.0
39 år	män	2019	65962.5
39 år	kvinnor	2019	63086.5
40 år	män	2019	63832.0
40 år	kvinnor	2019	61205.0
41 år	män	2019	63083.5
41 år	kvinnor	2019	60598.0
42 år	män	2019	63725.5
42 år	kvinnor	2019	61169.5
43 år	män	2019	64994.5
43 år	kvinnor	2019	62561.5
44 år	män	2019	67293.0
44 år	kvinnor	2019	65087.0
45 år	män	2019	67902.5
45 år	kvinnor	2019	65874.5
46 år	män	2019	67727.0
46 år	kvinnor	2019	65782.5
47 år	män	2019	68046.0
47 år	kvinnor	2019	66159.5
48 år	män	2019	66848.0
48 år	kvinnor	2019	65234.5
49 år	män	2019	65425.5
49 år	kvinnor	2019	63715.5
50 år	män	2019	66067.5
50 år	kvinnor	2019	64302.5
51 år	män	2019	68899.0
51 år	kvinnor	2019	66843.5
52 år	män	2019	70712.5
52 år	kvinnor	2019	68251.0
53 år	män	2019	70786.5
53 år	kvinnor	2019	68422.5
54 år	män	2019	70210.0
54 år	kvinnor	2019	68307.0
55 år	män	2019	67504.0
55 år	kvinnor	2019	65557.0
56 år	män	2019	63438.0
56 år	kvinnor	2019	61629.0
57 år	män	2019	60410.5
57 år	kvinnor	2019	59176.5
58 år	män	2019	58580.0
58 år	kvinnor	2019	57797.5
59 år	män	2019	58110.0
59 år	kvinnor	2019	57335.0
60 år	män	2019	57785.5
60 år	kvinnor	2019	56981.5
61 år	män	2019	57393.0
61 år	kvinnor	2019	57152.0
62 år	män	2019	57430.0
62 år	kvinnor	2019	57064.5
63 år	män	2019	56452.5
63 år	kvinnor	2019	56436.0
64 år	män	2019	54711.5
64 år	kvinnor	2019	55321.5
65 år	män	2019	54362.5
65 år	kvinnor	2019	54960.0
66 år	män	2019	54173.0
66 år	kvinnor	2019	55033.0
67 år	män	2019	52942.5
67 år	kvinnor	2019	54323.0
68 år	män	2019	53212.0
68 år	kvinnor	2019	54696.5
69 år	män	2019	54624.5
69 år	kvinnor	2019	56352.5
70 år	män	2019	55523.0
70 år	kvinnor	2019	57952.0
71 år	män	2019	55797.5
71 år	kvinnor	2019	58593.0
72 år	män	2019	55489.0
72 år	kvinnor	2019	58251.5
73 år	män	2019	54687.5
73 år	kvinnor	2019	57289.5
74 år	män	2019	52935.5
74 år	kvinnor	2019	55513.0
75 år	män	2019	49283.5
75 år	kvinnor	2019	52402.5
76 år	män	2019	44370.5
76 år	kvinnor	2019	47737.0
77 år	män	2019	38757.5
77 år	kvinnor	2019	42242.0
78 år	män	2019	34048.0
78 år	kvinnor	2019	37900.0
79 år	män	2019	31635.5
79 år	kvinnor	2019	36232.0
80 år	män	2019	29255.5
80 år	kvinnor	2019	34750.0
81 år	män	2019	26289.0
81 år	kvinnor	2019	32185.0
82 år	män	2019	23524.0
82 år	kvinnor	2019	29693.5
83 år	män	2019	21006.5
83 år	kvinnor	2019	27273.0
84 år	män	2019	18317.0
84 år	kvinnor	2019	24995.0
85 år	män	2019	16060.0
85 år	kvinnor	2019	23065.5
86 år	män	2019	14481.5
86 år	kvinnor	2019	21564.5
87 år	män	2019	12756.0
87 år	kvinnor	2019	20188.0
88 år	män	2019	10970.0
88 år	kvinnor	2019	18481.0
89 år	män	2019	9114.5
89 år	kvinnor	2019	16285.0
90 år	män	2019	7487.5
90 år	kvinnor	2019	14131.5
91 år	män	2019	5998.5
91 år	kvinnor	2019	12273.5
92 år	män	2019	4707.0
92 år	kvinnor	2019	10262.0
93 år	män	2019	3642.0
93 år	kvinnor	2019	8434.5
94 år	män	2019	2708.5
94 år	kvinnor	2019	6800.5
95 år	män	2019	1946.0
95 år	kvinnor	2019	5215.5
96 år	män	2019	1329.5
96 år	kvinnor	2019	3782.5
97 år	män	2019	908.0
97 år	kvinnor	2019	2856.0
98 år	män	2019	595.5
98 år	kvinnor	2019	2121.0
99 år	män	2019	320.5
99 år	kvinnor	2019	1308.0
100+ år	män	2019	368.5
100+ år	kvinnor	2019	1768.5
