"Tabell 4A: Döda januari-juni 2020 efter underliggande dödsorsak enligt ICD:s detaljlista, kön och ålder. Antal",,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Ålder,,,,,,,,,,,,,,,,,,,,
ICD-10,Dödsorsak,Kön,Samtliga,0,1-4,5-9,10-14,15-19,20-24,25-29,30-34,35-39,40-44,45-49,50-54,55-59,60-64,65-69,70-74,75-79,80-84,85-89,90-94,95-
A00-Y98,"Samtliga dödsorsaker",Kv,25609,57,12,6,11,21,35,35,71,87,107,174,278,432,700,1130,2068,2944,3908,5174,5195,3164
,,M,25925,74,17,11,19,73,105,119,126,132,157,271,464,774,1137,1827,3005,3945,4532,4621,3315,1201
U07-U07,"Covid-19 samtliga",Kv,2565,-,-,-,-,-,1,2,3,2,5,8,10,22,38,66,143,277,447,660,563,318
,,M,2987,-,-,-,-,-,1,3,6,2,8,20,45,76,97,173,318,425,610,624,423,156
U07.1,"Covid-19, virus påvisat",Kv,2359,-,-,-,-,-,1,2,3,2,5,7,9,21,34,65,127,250,407,614,524,288
,,M,2820,-,-,-,-,-,1,3,6,1,8,19,44,73,93,167,305,400,573,590,393,144
U07.2,"Covid-19, virus ej påvisat",Kv,206,-,-,-,-,-,-,-,-,-,-,1,1,1,4,1,16,27,40,46,39,30
,,M,167,-,-,-,-,-,-,-,-,1,-,1,1,3,4,6,13,25,37,34,30,12
R95-R99,"Ofullständigt definierade och okända orsaker till död",Kv,752,11,3,3,1,1,4,5,10,6,14,11,17,29,29,45,77,92,109,105,107,73
,,M,1061,11,2,-,2,5,8,6,14,17,15,38,30,65,86,115,147,162,140,113,70,15
R95.0,"Plötslig spädbarnsdöd med uppgift om obduktion",Kv,3,3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,,M,2,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
R99.0,"Dödsorsaken ej fastställbar",Kv,119,1,-,-,1,-,-,-,-,1,2,-,-,8,3,6,11,17,19,12,22,16
,,M,152,-,1,-,-,2,-,2,3,1,1,10,6,8,9,14,19,22,18,15,17,4
R99.8,"Uppgift om dödsorsak saknas",Kv,78,-,1,-,-,-,1,-,2,1,5,4,6,-,3,6,13,6,10,7,7,6
,,M,200,-,-,-,-,-,3,2,4,5,6,6,5,20,25,26,33,29,24,9,2,1
R99.9,"Andra ofullständigt definierade och ospecificerade orsaker till död",Kv,552,7,2,3,-,1,3,5,8,4,7,7,11,21,23,33,53,69,80,86,78,51
,,M,707,9,1,-,2,3,5,2,7,11,8,22,19,37,52,75,95,111,98,89,51,10
