"Tabell4A:Dödajanuari-juni2021efterunderliggandedödsorsakenligtICD:sdetaljlista,könochålder.Antal",,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Ålder,,,,,,,,,,,,,,,,,,,,
ICD-10,Dödsorsak,Kön,Samtliga,0,1-4,5-9,10-14,15-19,20-24,25-29,30-34,35-39,40-44,45-49,50-54,55-59,60-64,65-69,70-74,75-79,80-84,85-89,90-94,95-
A00-Y98,Samtliga dödsorsaker,Kv,22991,46,10,9,11,21,33,42,59,78,114,171,294,407,656,1107,1940,2896,3527,4389,4464,2717
,,M,23901,60,18,12,7,49,83,123,124,148,131,257,467,710,1164,1776,2897,3904,4014,4134,2762,1061
U07-U07,Covid-19 samtliga,Kv,1921,-,1,-,-,-,-,1,-,6,9,7,25,26,45,85,163,244,335,401,382,191
,,M,2702,-,-,-,-,1,2,2,4,6,6,18,48,93,140,201,328,484,482,466,310,111
U07.1,"Covid-19, virus påvisat",Kv,1909,-,1,-,-,-,-,1,-,6,8,7,24,26,44,85,162,244,334,396,380,191
,,M,2681,-,-,-,-,1,2,2,4,5,6,18,48,92,140,201,326,478,475,463,310,110
U07.2,"Covid-19, virus ej påvisat",Kv,12,-,-,-,-,-,-,-,-,-,1,-,1,-,1,-,1,-,1,5,2,-
,,M,21,-,-,-,-,-,-,-,-,1,-,-,-,1,-,-,2,6,7,3,-,1
R95-R99,Ofullständigt definierade och okända orsaker till död,Kv,654,9,1,-,1,3,4,8,14,8,9,14,19,25,38,47,56,71,97,101,94,35
,,M,1146,9,-,1,1,8,15,23,19,19,22,36,59,69,107,133,168,171,127,97,49,13
R95.0,Plötslig spädbarnsdöd med uppgift om obduktion,M,2,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
R95.9,Plötslig spädbarnsdöd utan uppgift om obduktion,Kv,1,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
R98,Obevittnad död,M,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-
R99.0,Dödsorsaken ej fastställbar,Kv,99,1,-,-,-,-,-,1,1,1,-,2,4,1,8,7,9,16,7,15,16,10
,,M,120,1,-,-,-,-,1,1,3,1,3,2,5,7,3,16,18,21,18,10,8,2
R99.8,Uppgift om dödsorsak saknas,Kv,112,1,-,-,-,-,-,1,2,1,2,5,4,-,8,8,10,8,23,17,16,6
,,M,225,1,-,-,-,1,3,2,3,4,4,7,15,14,20,26,36,33,30,15,7,4
R99.9,Andra ofullständigt definierade och ospecificerade orsaker till död,Kv,442,6,1,-,1,3,4,6,11,6,7,7,11,24,22,32,37,47,67,69,62,19
,,M,798,5,-,1,1,7,11,20,13,14,15,27,39,48,84,91,114,117,79,72,33,7
A00-B99,KAP I. VISSA INFEKTIONS- OCH PARASITSJUKDOMAR,Kv,553,-,-,-,-,1,-,-,1,1,2,-,3,7,8,16,33,51,112,133,131,54
,,M,586,-,2,-,-,-,-,-,-,1,1,4,5,5,13,23,45,86,122,128,121,30
A00-A09,Infektionssjukdomar utgående från mag-tarmkanalen,Kv,51,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,2,4,16,12,11,5
,,M,43,-,-,-,-,-,-,-,-,-,-,-,-,-,1,1,1,12,11,4,12,1
A04.4,Annan tarminfektion med Escherichia coli,M,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-
A04.7,Enterokolit orsakad av Clostridium difficile,Kv,26,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2,1,10,6,4,3
,,M,16,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,3,5,1,5,1
A08.1,Akut gastroenteropati orsakad av norovirus,Kv,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-
A09.0,Annan och ospecificerad gastroenterit och kolit av infektiös orsak,Kv,4,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2,-,2,-
,,M,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,1,-,-
A09.9,Gastroenterit och kolit av ospecificerad orsak,Kv,20,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,3,4,5,5,2
,,M,24,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,1,8,6,2,6,-
A15-A19,Tuberkulos,Kv,4,-,-,-,-,-,-,-,-,1,-,-,-,1,-,1,1,-,-,-,-,-
,,M,7,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,3,2,-,1,-
A16.2,"Lungtuberkulos, utan uppgift om bakteriologisk eller histologisk verifikation",M,3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2,-,-,1,-
A16.5,Tuberkulös pleurit utan uppgift om bakteriologisk eller histologisk verifikation,M,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-
A16.9,Tuberkulos i ospecificerat andningsorgan utan uppgift om bakteriologisk eller histologisk verifikation,Kv,3,-,-,-,-,-,-,-,-,1,-,-,-,1,-,1,-,-,-,-,-,-
,,M,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,1,-,-,-
A18.0,Tuberkulos i skelettet och lederna,Kv,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-
,,M,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-
A30-A49,Andra bakteriesjukdomar,Kv,250,-,-,-,-,1,-,-,1,-,-,-,3,4,2,6,18,22,54,59,62,18
,,M,294,-,1,-,-,-,-,-,-,1,-,2,4,1,8,11,23,44,60,67,56,16
A31.9,"Mykobakteriell infektion, ospecificerad",M,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-
A32.7,Sepsis orsakad av Listeria,Kv,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-
