"Tabell 4A: Döda juli-december 2020 efter underliggande dödsorsak enligt ICD:s detaljlista, kön och ålder. Antal",,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Ålder,,,,,,,,,,,,,,,,,,,,
ICD-10,Dödsorsak,Kön,Samtliga,0,1-4,5-9,10-14,15-19,20-24,25-29,30-34,35-39,40-44,45-49,50-54,55-59,60-64,65-69,70-74,75-79,80-84,85-89,90-94,95-
A00-Y98,"Samtliga dödsorsaker",Kv,22959,55,13,8,9,14,28,44,55,70,98,153,259,413,640,1065,1946,2759,3539,4500,4568,2723
,,M,23318,82,10,7,17,40,79,131,114,89,149,226,417,686,1030,1629,2676,3730,4079,4105,2924,1098
U07-U07,"Covid-19 samtliga",Kv,1658,-,2,-,-,1,1,1,1,1,1,2,8,7,15,28,92,170,280,419,397,232
,,M,1845,-,-,-,1,1,-,1,1,2,1,8,7,24,34,71,153,267,412,415,311,136
U07.1,"Covid-19, virus påvisat",Kv,1636,-,2,-,-,1,-,1,1,1,1,2,8,7,15,27,91,167,277,416,391,228
,,M,1815,-,-,-,1,1,-,1,1,2,1,8,7,24,33,69,153,263,405,408,305,133
U07.2,"Covid-19, virus ej påvisat",Kv,22,-,-,-,-,-,1,-,-,-,-,-,-,-,-,1,1,3,3,3,6,4
,,M,30,-,-,-,-,-,-,-,-,-,-,-,-,-,1,2,-,4,7,7,6,3
R95-R99,"Ofullständigt definierade och okända orsaker till död",Kv,1237,12,3,3,2,3,4,7,10,15,17,21,28,34,47,94,126,167,174,196,182,92
,,M,1746,18,3,-,4,4,13,34,22,17,20,27,62,110,130,174,239,282,211,228,114,34
R95.0,"Plötslig spädbarnsdöd med uppgift om obduktion",Kv,2,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,,M,1,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
R98,"Obevittnad död",M,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-
R99.0,"Dödsorsaken ej fastställbar",Kv,111,1,-,-,-,-,1,2,1,3,-,1,4,2,2,10,7,11,14,20,19,13
,,M,111,1,-,-,-,-,1,2,1,1,2,1,3,9,9,9,13,23,12,15,6,3
R99.8,"Uppgift om dödsorsak saknas",Kv,49,-,-,-,-,-,-,1,1,1,2,3,-,3,3,6,5,4,11,3,4,2
,,M,153,1,-,-,-,1,2,1,4,1,5,2,10,18,17,15,25,21,10,17,3,-
R99.9,"Andra ofullständigt definierade och ospecificerade orsaker till död",Kv,1075,9,3,3,2,3,3,4,8,11,15,17,24,29,42,78,114,152,149,173,159,77
,,M,1480,15,3,-,4,3,10,31,17,15,13,24,49,83,104,150,200,238,189,196,105,31
"A00-B99","KAP I. VISSA INFEKTIONS- OCH PARASITSJUKDOMAR",Kv,504,-,-,-,-,-,-,-,-,-,-,2,4,6,9,12,28,43,90,122,118,70
,,M,528,2,1,-,-,-,-,-,-,1,1,2,5,7,8,27,54,81,112,90,93,44
A00-A09,"Infektionssjukdomar utgående från mag-tarmkanalen",Kv,53,-,-,-,-,-,-,-,-,-,-,-,-,-,2,1,3,5,7,10,20,5
,,M,39,-,-,-,-,-,-,-,-,1,1,-,-,1,2,3,6,7,5,3,7,3
A02.1,Salmonellasepsis,Kv,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-
A02.9,"Andra salmonellainfektioner, ospecificerade",M,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-
