year	week	AH1	AH1N12009	AH3	ANOTSUBTYPED	BYAMAGATA	BVICTORIA	BNOTDETERMINED
2016	40	0	0	0	13	0	0	0
2016	41	0	0	0	6	0	0	1
2016	42	0	0	1	4	0	0	0
2016	43	0	0	0	4	0	0	0
2016	44	0	0	1	7	0	0	1
2016	45	0	0	0	35	0	0	4
2016	46	0	0	1	60	0	0	2
2016	47	0	0	1	102	0	0	0
2016	48	0	0	5	176	0	0	2
2016	49	0	0	3	348	0	0	4
2016	50	0	0	7	531	0	0	5
2016	51	0	0	15	1050	0	1	6
2016	52	0	0	24	1339	0	0	6
2017	1	0	0	15	921	0	0	8
2017	2	0	0	12	747	0	0	5
2017	3	0	0	8	610	0	0	10
2017	4	0	0	11	639	0	0	7
2017	5	0	0	8	752	0	0	10
2017	6	0	2	11	835	0	0	13
2017	7	0	0	14	899	0	0	9
2017	8	0	0	12	915	0	0	19
2017	9	0	0	9	682	0	0	23
2017	10	0	0	7	452	1	0	25
2017	11	0	0	4	357	0	0	26
2017	12	0	0	4	263	0	0	35
2017	13	0	0	0	206	0	0	45
2017	14	0	0	1	157	0	0	60
2017	15	0	0	0	105	2	0	43
2017	16	0	0	0	59	0	0	44
2017	17	0	0	0	42	0	0	62
2017	18	0	0	0	24	0	0	68
2017	19	0	0	0	14	0	0	83
2017	20	0	0	0	17	0	0	82
