veckonummer	år	Antal_fall_vecka	Antal_fall_100000inv_vecka	Antal_fall_100000inv_14dagar	Kum_antal_fall	Kum_fall_100000inv	Antal_nyaintensivvårdade_vecka	Kum_antal_intensivvårdade	Antal_avlidna_vecka	Antal_avlidna_milj_inv_vecka	Kum_antal_avlidna	Kum_antal_avlidna_milj_inv
6	2020	1	0	0	1	0	0	0	0	0	0	0
7	2020	0	0	0	1	0	0	0	0	0	0	0
8	2020	0	0	0	1	0	0	0	0	0	0	0
9	2020	13	0	0	14	0	0	0	0	0	0	0
10	2020	211	2	2	225	2	3	3	0	0	0	0
11	2020	838	8	10	1063	10	16	19	5	0.5	5	0.5
12	2020	924	9	17	1987	19	88	107	44	4.300000190734863	49	4.699999809265137
13	2020	1957	19	28	3944	38	238	345	190	18.399999618530273	239	23.100000381469727
14	2020	3229	31	50	7173	69	277	622	451	43.70000076293945	690	66.80000305175781
15	2020	3740	36	67	10913	106	289	911	664	64.30000305175781	1354	131.10000610351562
16	2020	3752	36	72	14665	142	250	1161	657	63.599998474121094	2011	194.6999969482422
17	2020	4203	41	77	18868	183	238	1399	546	52.900001525878906	2557	247.60000610351562
18	2020	3832	37	78	22700	220	188	1587	543	52.599998474121094	3100	300.20001220703125
19	2020	4153	40	77	26853	260	156	1743	509	49.29999923706055	3609	349.5
20	2020	3869	37	77	30722	297	124	1867	380	36.79999923706055	3989	386.20001220703125
21	2020	3659	35	72	34381	333	111	1978	360	34.900001525878906	4349	421.1000061035156
22	2020	4280	41	76	38661	374	122	2100	272	26.299999237060547	4621	447.3999938964844
23	2020	6021	58	99	44682	433	123	2223	246	23.799999237060547	4867	471.29998779296875
24	2020	7123	69	127	51805	502	90	2313	234	22.700000762939453	5101	493.8999938964844
25	2020	7073	68	137	58878	570	74	2387	200	19.399999618530273	5301	513.2999877929688
26	2020	7455	72	140	66333	642	56	2443	138	13.399999618530273	5439	526.5999755859375
27	2020	4279	41	113	70612	684	34	2477	98	9.5	5537	536.0999755859375
28	2020	2179	21	62	72791	705	14	2491	84	8.100000381469727	5621	544.2999877929688
29	2020	1622	16	37	74413	721	14	2505	57	5.5	5678	549.7999877929688
30	2020	1316	13	29	75729	733	12	2517	30	2.9000000953674316	5708	552.7000122070312
31	2020	1556	15	28	77285	748	11	2528	18	1.7000000476837158	5726	554.4000244140625
