age	sex	year	deaths
0	m	2021	119
0	f	2021	92
1	m	2021	12
1	f	2021	11
2	m	2021	8
2	f	2021	6
3	m	2021	6
3	f	2021	2
4	m	2021	9
4	f	2021	4
5	m	2021	4
5	f	2021	2
6	m	2021	3
6	f	2021	4
7	m	2021	6
7	f	2021	3
8	m	2021	4
8	f	2021	2
9	m	2021	7
9	f	2021	3
10	m	2021	2
10	f	2021	3
11	m	2021	5
11	f	2021	5
12	m	2021	3
12	f	2021	5
13	m	2021	8
13	f	2021	4
14	m	2021	4
14	f	2021	7
15	m	2021	12
15	f	2021	5
16	m	2021	11
16	f	2021	7
17	m	2021	19
17	f	2021	10
18	m	2021	22
18	f	2021	13
19	m	2021	33
19	f	2021	4
20	m	2021	28
20	f	2021	15
21	m	2021	39
21	f	2021	15
22	m	2021	28
22	f	2021	17
23	m	2021	31
23	f	2021	12
24	m	2021	39
24	f	2021	14
25	m	2021	40
25	f	2021	13
26	m	2021	31
26	f	2021	15
27	m	2021	48
27	f	2021	19
28	m	2021	61
28	f	2021	14
29	m	2021	54
29	f	2021	21
30	m	2021	50
30	f	2021	27
31	m	2021	62
31	f	2021	29
32	m	2021	54
32	f	2021	16
33	m	2021	48
33	f	2021	28
34	m	2021	44
34	f	2021	25
35	m	2021	54
35	f	2021	29
36	m	2021	60
36	f	2021	23
37	m	2021	48
37	f	2021	33
38	m	2021	49
38	f	2021	32
39	m	2021	53
39	f	2021	41
40	m	2021	55
40	f	2021	34
41	m	2021	57
41	f	2021	46
42	m	2021	59
42	f	2021	39
43	m	2021	58
43	f	2021	36
44	m	2021	76
44	f	2021	41
45	m	2021	74
45	f	2021	57
46	m	2021	91
46	f	2021	67
47	m	2021	118
47	f	2021	66
48	m	2021	105
48	f	2021	58
49	m	2021	143
49	f	2021	74
50	m	2021	138
50	f	2021	84
51	m	2021	172
51	f	2021	108
52	m	2021	163
52	f	2021	111
53	m	2021	158
53	f	2021	112
54	m	2021	237
54	f	2021	135
55	m	2021	248
55	f	2021	134
56	m	2021	272
56	f	2021	172
57	m	2021	256
57	f	2021	177
58	m	2021	283
58	f	2021	176
59	m	2021	317
59	f	2021	204
60	m	2021	368
60	f	2021	195
61	m	2021	372
61	f	2021	228
62	m	2021	420
62	f	2021	255
63	m	2021	461
63	f	2021	312
64	m	2021	511
64	f	2021	330
65	m	2021	519
65	f	2021	342
66	m	2021	654
66	f	2021	388
67	m	2021	661
67	f	2021	451
68	m	2021	735
68	f	2021	476
69	m	2021	788
69	f	2021	526
70	m	2021	839
70	f	2021	578
71	m	2021	970
71	f	2021	679
72	m	2021	1036
72	f	2021	729
73	m	2021	1210
73	f	2021	814
74	m	2021	1348
74	f	2021	963
75	m	2021	1432
75	f	2021	1042
76	m	2021	1466
76	f	2021	1097
77	m	2021	1643
77	f	2021	1139
78	m	2021	1593
78	f	2021	1285
79	m	2021	1482
79	f	2021	1231
80	m	2021	1482
80	f	2021	1184
81	m	2021	1521
81	f	2021	1357
82	m	2021	1630
82	f	2021	1392
83	m	2021	1659
83	f	2021	1481
84	m	2021	1685
84	f	2021	1553
85	m	2021	1757
85	f	2021	1615
86	m	2021	1597
86	f	2021	1689
87	m	2021	1555
87	f	2021	1691
88	m	2021	1639
88	f	2021	1860
89	m	2021	1481
89	f	2021	1841
90	m	2021	1428
90	f	2021	1968
91	m	2021	1237
91	f	2021	1853
92	m	2021	1130
92	f	2021	1746
93	m	2021	930
93	f	2021	1758
94	m	2021	773
94	f	2021	1457
95	m	2021	630
95	f	2021	1322
96	m	2021	484
96	f	2021	1109
97	m	2021	382
97	f	2021	849
98	m	2021	253
98	f	2021	634
99	m	2021	181
99	f	2021	516
100	m	2021	244
100	f	2021	978
