age	m	a	q	p	l	d	ld	t	e
0	0.0016565383749718658	0.057638307449921225	0.0016539564525125646	0.9983460435474875	1.0	0.0016539564525125646	0.9984413747980061	84.8187572757855	84.8187572757855
1	0.00019575043598960744	0.5	0.0001957312787480316	0.9998042687212519	0.9983460435474875	0.00019540754773658776	0.9982483397736192	83.8203159009875	83.95918072970305
2	0.00010426350864083828	0.5	0.00010425807348456546	0.9998957419265154	0.9981506359997508	0.00010406526235672777	0.9980986033685725	82.82206756121387	82.97551949987891
3	3.419709495678342e-5	0.5	3.419651024612938e-5	0.9999658034897538	0.9980465707373941	3.412970978233559e-5	0.9980295058825029	81.8239689578453	81.98411913523303
4	6.68197953643767e-5	0.5	6.68175629964336e-5	0.9999331824370036	0.9980124410276118	6.668475914958693e-5	0.997979098648037	80.8259394519628	80.98690570303883
5	3.31963981907963e-5	0.5	3.3195847199515345e-5	0.9999668041528005	0.9979457562684622	3.312765483849265e-5	0.997929192441043	79.82796035331477	79.99228400129581
6	6.657955841107884e-5	0.5	6.657734206606137e-5	0.999933422657934	0.9979126286136236	6.643837042725169e-5	0.99787940942841	78.83003116087372	78.99492290260963
7	4.9698907452351175e-5	0.5	4.9697672492338274e-5	0.9999503023275077	0.9978461902431964	4.959063316043385e-5	0.9978213949266163	77.83215175144531	78.00014923389742
8	3.307288436892802e-5	0.5	3.307233747013154e-5	0.9999669276625298	0.9977965996100361	3.2999465868852833e-5	0.9977800998771017	76.83433035651869	77.00400100235606
9	4.950903539896031e-5	0.5	4.950780985700494e-5	0.999950492190143	0.9977636001441672	4.939709059817814e-5	0.9977389015988681	75.83655025664159	76.0065312521763
10	4.8824151680364556e-5	0.5	4.882295981056692e-5	0.9999511770401894	0.9977142030535691	4.871136043811621e-5	0.99768984737335	74.83881135504272	75.01026960024592
11	8.093889113719143e-5	0.5	8.093561571769657e-5	0.9999190643842824	0.9976654916931309	8.074667085048203e-5	0.9976251183577056	73.84112150766937	74.01390758976152
12	8.247490700954235e-5	0.5	8.24715060946443e-5	0.9999175284939054	0.9975847450222805	8.227231637902919e-5	0.9975436088640909	72.84349638931167	73.01985796473336
13	6.673395673971255e-5	0.5	6.67317301035176e-5	0.9999332682698965	0.9975024727059014	6.656506578620164e-5	0.9974691901730083	71.84595278044758	72.02583927992956
14	0.00011788679499486351	0.5	0.00011787984675619923	0.9998821201532438	0.9974359076401152	0.00011757759194174728	0.9973771188441444	70.84848359027457	71.03061264146649
15	8.566851425095735e-5	0.5	8.566484486096596e-5	0.9999143351551391	0.9973183300481735	8.543512002057444e-5	0.9972756124881632	69.85110647143043	70.03892775946112
16	0.00012226540325749967	0.5	0.00012225792929998602	0.9998777420707	0.9972328949281529	0.00012191962876374651	0.997171935113771	68.85383085894226	69.04488531127218
17	0.00017635129177321225	0.5	0.00017633574325515782	0.9998236642567448	0.9971109752993892	0.0001758263049372931	0.9970230621469205	67.85665892382849	68.0532664916802
18	0.00023256854063240752	0.5	0.00023254149971379506	0.9997674585002863	0.9969351489944519	0.00023182879466456557	0.9968192345971196	66.85963586168157	67.06518064802795
19	7.373203933604299e-5	0.5	7.372932122943643e-5	0.9999262706787706	0.9967033201997874	7.348625926545595e-5	0.9966665770701546	65.86281662708444	66.08066341535047
20	0.00028119639693683393	0.5	0.00028115686678787657	0.9997188431332121	0.996629833940522	0.00028020932145803886	0.996489729279793	64.86615005001428	65.08549898967347
21	0.00028193103966769726	0.5	0.00028189130271367356	0.9997181086972863	0.996349624619064	0.0002808622936421476	0.9962091934722429	63.869660320734496	64.10366275307615
22	0.00031806913326161185	0.5	0.00031801855731816817	0.9996819814426818	0.9960687623254217	0.00031676835078442396	0.9959103781500296	62.87345112726226	63.12159712797129
23	0.00021972991531242847	0.5	0.00021970577734650346	0.9997802942226535	0.9957519939746373	0.00021877246588052852	0.9956426077416971	61.87754074911223	62.141518293247124
24	0.00024605650511885406	0.5	0.00024602623694083945	0.9997539737630592	0.9955332215087568	0.00024492729223739057	0.9954107578626381	60.88189814137053	61.15506426706927
25	0.0002147677617069081	0.5	0.00021474470158745892	0.9997852552984126	0.9952882942165194	0.00021373288773501747	0.995181427772652	59.88648738350789	60.16999067657066
26	0.00022946481157114557	0.5	0.00022943848754149014	0.9997705615124585	0.9950745613287845	0.00022830840234228808	0.9949604071276134	58.89130595573524	59.18280724320201
27	0.0002736667746930251	0.5	0.0002736293330645045	0.9997263706669355	0.9948462529264421	0.0002722191166899837	0.9947101433680972	57.89634554860763	58.196274427631
28	0.00019351717464925012	0.5	0.0001934984520123839	0.9998065015479877	0.9945740338097522	0.00019244853595389944	0.9944778095417752	56.90163540523953	57.212066141799156
29	0.0002813862964873611	0.5	0.0002813467129325706	0.9997186532870674	0.9943815852737984	0.0002797659904174618	0.9942417022785897	55.907157595697754	56.22304196261235
30	0.00035346559928783227	0.5	0.0003534031413612566	0.9996465968586388	0.9941018192833809	0.000351318705767687	0.993926159930497	54.91291589341917	55.23872386935605
31	0.00038337728952256305	0.5	0.00038330381453382324	0.9996166961854662	0.9937505005776133	0.0003809083575662955	0.9935600463988301	53.91898973348867	54.258075545268646
32	0.0002177492889124784	0.5	0.00021772558411691867	0.9997822744158831	0.9933695922200471	0.00021628197471009505	0.993261451232692	52.925429687089846	53.27868912194972
33	0.0003922008068130883	0.5	0.00039212391115592526	0.999607876088844	0.9931533102453369	0.0003894391603908556	0.9929585906651415	51.932168235857155	52.290182895356246
34	0.0003606306709173002	0.5	0.00036056565540019183	0.9996394343445998	0.992763871084946	0.0003579565558353751	0.9925848928070283	50.939209645192015	51.31049903087518
35	0.000427552043403904	0.5	0.0004274606625640269	0.999572539337436	0.9924059145291106	0.0004242144897570727	0.9921938072842321	49.946624752384984	50.32882615989274
36	0.0003492919245225711	0.5	0.00034923093275026945	0.9996507690672497	0.9919817000393536	0.00034643069437594146	0.9918084846921656	48.95443094510075	49.350135131685036
37	0.0005153431717029749	0.5	0.0005152104166178778	0.9994847895833822	0.9916352693449776	0.0005109008202522073	0.9913798189348515	47.96262246040859	48.36720106989558
38	0.000505158138176537	0.5	0.0005050305780232787	0.9994949694219767	0.9911243685247254	0.0005005481127289992	0.9908740944683609	46.97124264147374	47.39187546300548
39	0.0006504219810901707	0.5	0.0006502105254811161	0.9993497894745189	0.9906238204119964	0.000644114034824195	0.9903017633945843	45.98036854700538	46.41556926006719
40	0.0005334337443911011	0.5	0.000533291506548506	0.9994667084934515	0.9899797063771723	0.0005279477690663298	0.9897157324926391	44.99006678361079	45.44544347100993
41	0.0007224525694182687	0.5	0.0007221916947955099	0.9992778083052045	0.989451758608106	0.0007145738424675859	0.9890944716868721	44.00035105111815	44.46942528356802
42	0.0006319166518139248	0.5	0.0006317170555506062	0.9993682829444493	0.9887371847656384	0.0006246021430735448	0.9884248836941016	43.01125657943128	43.501202586637106
43	0.0005890919801672367	0.5	0.0005889185165796921	0.9994110814834203	0.9881125826225649	0.0005819177963718094	0.987821623724379	42.02283169573718	42.52838435090436
44	0.0006659195374295506	0.5	0.0006656978868151228	0.9993343021131849	0.987530664826193	0.0006573970767399299	0.9872019662878231	41.0350100720128	41.553150229755175
45	0.000905847483889423	0.5	0.0009054373897987388	0.9990945626102012	0.986873267749453	0.0008935519556132166	0.9864264917716464	40.04780810572498	40.580497430083696
46	0.0010242768910903198	0.5	0.0010237525880312627	0.9989762474119688	0.9859797157938398	0.0010093992857902723	0.9854750161509447	39.06138161395334	39.616820699504885
47	0.0009979059095685569	0.5	0.0009974082497752053	0.9990025917502248	0.9849703165080496	0.0009824175194688236	0.9844791077483152	38.075906597802394	38.65690768508679
48	0.0008784883941080692	0.5	0.0008781026925959289	0.9991218973074041	0.9839878989885807	0.0008640424235836836	0.9835558777767889	37.09142749005408	37.69500369687425
49	0.0011152304307200773	0.5	0.0011146089078338931	0.9988853910921661	0.9831238565649971	0.0010957986080313564	0.9825759572609815	36.10787161227729	36.72769343471842
50	0.0012850029447984152	0.5	0.0012841778586334207	0.9987158221413666	0.9820280579569658	0.0012610986885851132	0.9813975086126733	35.12529565501631	35.76811820233711
51	0.001692445113064736	0.5	0.0016910141387571046	0.998308985861243	0.9807669592683806	0.001658490794948645	0.9799377138709063	34.143898146403636	34.81346697473765
52	0.0017252500446855305	0.5	0.001723763083517098	0.9982762369164829	0.979108468473432	0.0016877510327134666	0.9782645929570752	33.16396043253273	33.8715898190933
53	0.0016762075803494593	0.5	0.0016748039208356073	0.9983251960791644	0.9774207174407186	0.0016369880498756676	0.9766022234157807	32.18569583957566	32.92921386386283
54	0.0019799656805948697	0.5	0.001978007487124636	0.9980219925128754	0.9757837293908429	0.001930107522549487	0.9748186756295681	31.20909361615988	31.98361755390503
55	0.001962449840367886	0.5	0.0019605261232790534	0.998039473876721	0.9738536218682934	0.0019092654659227104	0.972898989135332	30.234274940530312	31.04601580936491
56	0.002524640935878524	0.5	0.0025214580477757667	0.9974785419522242	0.9719443564023708	0.002450716919440996	0.9707189979426503	29.26137595139498	30.10601971053701
57	0.002707498393856885	0.5	0.0027038380752339125	0.9972961619247661	0.9694936394829297	0.002621353816131045	0.9681829625748641	28.29065695345233	29.180858750698857
58	0.0028671733092230124	0.5	0.002863068851925658	0.9971369311480743	0.9668722856667986	0.002768221924882778	0.9654881747043572	27.322473990877466	28.258617395403633
59	0.003465674532388767	0.5	0.0034596794708725512	0.9965403205291274	0.9641040637419158	0.0033354910371127078	0.9624363182233595	26.356985816173108	27.338320423498075
60	0.003393724220748708	0.5	0.0033879752938417032	0.9966120247061583	0.9607685727048031	0.003255060187423429	0.9591410426110913	25.394549497949747	26.43149476304971
61	0.004003757913128989	0.5	0.003995758887496604	0.9960042411125034	0.9575135125173797	0.003825993127539411	0.95560051595361	24.435408455338656	25.519648689965752
62	0.004513194456735279	0.5	0.004503032925117211	0.9954969670748828	0.9536875193898403	0.00429448630008581	0.9515402762397974	23.479807939385047	24.62002224209371
63	0.00551494957886643	0.5	0.005499784062965476	0.9945002159370345	0.9493930330897545	0.005221456672877487	0.9467823047533158	22.52826766314525	23.729126797811094
64	0.005843190027622353	0.5	0.0058261683232993765	0.9941738316767006	0.9441715764168771	0.005500902530279646	0.9414211251517373	21.581485358391934	22.85758849074178
65	0.0061316695352839935	0.5	0.006112928307147837	0.9938870716928522	0.9386706738865974	0.0057380265334909175	0.9358016606198519	20.640064233240196	21.98861092333834
66	0.007108700829959143	0.5	0.007083523505248745	0.9929164764947512	0.9329326473531065	0.006608450336339669	0.9296284221849367	19.704262572620344	21.120777184210233
67	0.008331024291124041	0.5	0.008296465264300366	0.9917035347356996	0.9263241970167668	0.007685216524030534	0.9224815887547516	18.774634150435407	20.267886999928578
68	0.008788936280211969	0.5	0.008750482563376656	0.9912495174366234	0.9186389804927363	0.008038534380839797	0.9146197133023164	17.852152561680654	19.433262620866774
69	0.009851109654462028	0.5	0.009802825300980282	0.9901971746990197	0.9106004461118965	0.00892645709222963	0.9061372175657817	16.93753284837834	18.600400341004246
70	0.010772728967085398	0.5	0.010715013996255305	0.9892849860037447	0.9016739890196669	0.009661449412405083	0.8968432643134644	16.031395630812558	17.779591987834184
71	0.012319918713938382	0.5	0.012244493133886949	0.987755506866113	0.8920125396072618	0.010922241416562176	0.8865514188989807	15.134552366499095	16.966748441857764
72	0.01288509464976934	0.5	0.012802613208292722	0.9871973867917073	0.8810902981906996	0.011280258289314825	0.8754501690460422	14.248000947600115	16.170874854550192
73	0.014273439828859001	0.5	0.014172296120899784	0.9858277038791002	0.8698100399013848	0.012327205454414084	0.8636464371741778	13.372550778554073	15.37410487934836
