age	m	a	q	p	l	d	ld	t	e
0	0.002163369891920168	0.05080648478991373	0.002158936609134827	0.9978410633908652	1.0	0.002158936609134827	0.9979507513708595	81.34510122778758	81.34510122778758
1	0.0002023506399338988	0.5	0.0002023301691142997	0.9997976698308857	0.9978410633908652	0.0002018933511050664	0.9977401167153127	80.34715047641672	80.52099018994156
2	6.648991431112293e-5	0.5	6.64877039302544e-5	0.9999335122960697	0.9976391700397601	6.633073776682828e-5	0.9976060046708767	79.34941035970141	79.53718412694141
3	0.00014673992793439095	0.5	0.00014672916242103117	0.999853270837579	0.9975728393019933	0.0001463730271647514	0.9974996527884109	78.35180435503054	78.5424394772553
4	0.00012884003704151064	0.5	0.00012883173769858203	0.9998711682623014	0.9974264662748286	0.00012850018487674229	0.9973622161823902	77.35430470224213	77.55389225949024
5	3.153803092303932e-5	0.5	3.153753360718425e-5	0.9999684624663928	0.9972979660899518	3.1452318121938354e-5	0.9972822399308908	76.35694248605974	76.56382052540222
6	6.226843924157041e-5	0.5	6.2266500622665e-5	0.9999377334993773	0.9972665137718298	6.20962960007366e-5	0.9972354656238295	75.35966024612884	75.56621946635501
7	9.342374675936378e-5	0.5	9.341938296497551e-5	0.9999065806170351	0.9972044174758291	9.31582213705398e-5	0.9971578383651438	74.36242478050501	74.5708938682148
8	7.78440316980897e-5	0.5	7.784100196937735e-5	0.9999221589980306	0.9971112592544586	7.761613949531466e-5	0.997072451184711	73.36526694213987	73.57781417190613
9	7.777017358302744e-5	0.5	7.776714960066568e-5	0.9999222328503994	0.9970336431149633	7.753646448101807e-5	0.9969948748827229	72.36819449095516	72.58350306501214
10	3.1140279172602783e-5	0.5	3.1139794321658505e-5	0.9999688602056783	0.9969561066504824	3.104500810881746e-5	0.9969405841464279	71.37119961607245	71.58910922955417
11	6.125199068969742e-5	0.5	6.125011484396534e-5	0.9999387498851561	0.9969250616423736	6.10617745164226e-5	0.9968945307551154	70.37425903192602	70.5913229987304
12	4.563362285331833e-5	0.5	4.563258166330761e-5	0.9999543674183367	0.9968639998678572	4.5489477881181456e-5	0.9968412551289166	69.3773645011709	69.59561636328272
13	0.0001237432327919567	0.5	0.00012373557707179755	0.9998762644229282	0.996818510389976	0.00012334191361895332	0.9967568394331666	68.38052324604199	68.5987695185256
14	0.00014069974674045586	0.5	0.00014068984922737822	0.9998593101507727	0.9966951684763571	0.000140224892978595	0.9966250560298678	67.38376640660883	67.60719680182463
15	0.0001106081075742852	0.5	0.00011060199083583504	0.9998893980091642	0.9965549435833786	0.00011022096073761495	0.9964998331030098	66.38714135057896	66.61663943170691
16	0.0002094105897324377	0.5	0.00020938866563046123	0.9997906113343695	0.996444722622641	0.00020864423084446986	0.9963404005072188	65.39064151747594	65.62395287253653
17	0.0003268401098182769	0.5	0.000326786706316787	0.9996732132936832	0.9962360783917966	0.0003255567067716076	0.9960733000384108	64.39430111696872	64.63759194599649
18	0.00036093383426574576	0.5	0.00036086870940227025	0.9996391312905978	0.995910521685025	0.00035939294464061664	0.9957308252127047	63.39822781693031	63.65855810988325
19	0.0005996002664890073	0.5	0.0005994205601252123	0.9994005794398748	0.9955511287403844	0.0005967538152228485	0.995252751832773	62.402496991717605	62.68135828510588
20	0.0005413040352524253	0.5	0.0005411575698642878	0.9994588424301357	0.9949543749251616	0.0005384270916603419	0.9946851613793314	61.40724423988483	61.718653425192244
21	0.0005683765327359808	0.5	0.000568215052685234	0.9994317849473148	0.9944159478335013	0.0005650421101892498	0.9941334267784067	60.4125590785055	60.75180030059273
