age	sex	year	mpop
0	m	2021	58588.5
0	f	2021	55537.5
1	m	2021	59626.5
1	f	2021	56194.0
2	m	2021	60972.0
2	f	2021	57546.5
3	m	2021	61775.0
3	f	2021	58484.5
4	m	2021	63168.0
4	f	2021	59862.5
5	m	2021	64044.5
5	f	2021	60247.5
6	m	2021	64083.5
6	f	2021	60078.5
7	m	2021	64017.0
7	f	2021	60363.5
8	m	2021	64063.0
8	f	2021	60472.5
9	m	2021	64013.5
9	f	2021	60595.0
10	m	2021	65027.5
10	f	2021	61445.0
11	m	2021	65478.5
11	f	2021	61775.0
12	m	2021	64384.0
12	f	2021	60624.5
13	m	2021	63667.0
13	f	2021	59939.5
14	m	2021	62997.0
14	f	2021	59379.0
15	m	2021	61750.0
15	f	2021	58364.5
16	m	2021	60830.5
16	f	2021	57252.5
17	m	2021	60468.5
17	f	2021	56705.0
18	m	2021	59583.0
18	f	2021	55897.5
19	m	2021	58671.5
19	f	2021	54250.5
20	m	2021	59357.0
20	f	2021	53343.5
21	m	2021	62868.5
21	f	2021	53204.5
22	m	2021	63466.0
22	f	2021	53447.5
23	m	2021	60662.0
23	f	2021	54612.5
24	m	2021	60980.5
24	f	2021	56897.5
25	m	2021	64788.5
25	f	2021	60530.5
26	m	2021	69424.5
26	f	2021	65369.5
27	m	2021	73137.5
27	f	2021	69427.5
28	m	2021	76322.5
28	f	2021	72345.0
29	m	2021	79061.0
29	f	2021	74630.5
30	m	2021	80504.0
30	f	2021	76386.5
31	m	2021	79394.0
31	f	2021	75643.5
32	m	2021	77327.0
32	f	2021	73479.0
33	m	2021	74816.5
33	f	2021	71392.0
34	m	2021	72613.0
34	f	2021	69323.0
35	m	2021	71879.5
35	f	2021	67828.0
36	m	2021	70116.0
36	f	2021	65847.5
37	m	2021	67856.0
37	f	2021	64035.0
38	m	2021	67096.5
38	f	2021	63346.5
39	m	2021	66313.0
39	f	2021	63036.0
40	m	2021	66485.0
40	f	2021	63738.0
41	m	2021	66447.0
41	f	2021	63672.0
42	m	2021	64255.0
42	f	2021	61717.0
43	m	2021	63496.0
43	f	2021	61111.0
44	m	2021	64069.5
44	f	2021	61569.0
45	m	2021	65244.5
45	f	2021	62924.5
46	m	2021	67539.0
46	f	2021	65412.0
47	m	2021	68158.5
47	f	2021	66138.5
48	m	2021	67877.5
48	f	2021	66022.5
49	m	2021	68114.0
49	f	2021	66354.0
50	m	2021	66915.0
50	f	2021	65369.5
51	m	2021	65402.5
51	f	2021	63813.0
52	m	2021	66000.0
52	f	2021	64338.5
53	m	2021	68741.0
53	f	2021	66817.5
54	m	2021	70454.0
54	f	2021	68183.0
55	m	2021	70451.5
55	f	2021	68282.0
56	m	2021	69814.5
56	f	2021	68128.5
57	m	2021	67041.5
57	f	2021	65374.0
58	m	2021	62945.5
58	f	2021	61384.5
59	m	2021	59870.5
59	f	2021	58863.0
60	m	2021	58038.0
60	f	2021	57459.0
61	m	2021	57460.0
61	f	2021	56946.5
62	m	2021	57062.5
62	f	2021	56501.0
63	m	2021	56542.0
63	f	2021	56573.5
64	m	2021	56459.0
64	f	2021	56476.0
65	m	2021	55393.5
65	f	2021	55776.0
66	m	2021	53590.0
66	f	2021	54581.0
67	m	2021	53089.5
67	f	2021	54135.0
68	m	2021	52856.0
68	f	2021	54159.0
69	m	2021	51502.0
69	f	2021	53395.0
70	m	2021	51572.0
70	f	2021	53654.0
71	m	2021	52804.0
71	f	2021	55114.0
72	m	2021	53507.5
72	f	2021	56577.0
73	m	2021	53608.5
73	f	2021	57029.0
74	m	2021	53040.5
74	f	2021	56460.0
75	m	2021	52012.5
75	f	2021	55379.5
76	m	2021	50039.5
76	f	2021	53454.5
77	m	2021	46200.5
77	f	2021	50223.5
78	m	2021	41353.0
78	f	2021	45476.5
79	m	2021	35825.0
79	f	2021	39941.0
80	m	2021	31069.0
80	f	2021	35591.5
81	m	2021	28538.5
81	f	2021	33718.0
82	m	2021	26029.5
82	f	2021	32040.5
83	m	2021	22924.5
83	f	2021	29275.0
84	m	2021	20182.5
84	f	2021	26651.5
85	m	2021	17603.5
85	f	2021	24146.5
86	m	2021	14911.0
86	f	2021	21649.5
87	m	2021	12783.5
87	f	2021	19627.5
88	m	2021	11096.5
88	f	2021	17892.0
89	m	2021	9440.5
89	f	2021	16197.0
90	m	2021	7812.5
90	f	2021	14354.0
91	m	2021	6142.0
91	f	2021	12221.0
92	m	2021	4795.0
92	f	2021	10232.5
93	m	2021	3650.5
93	f	2021	8447.5
94	m	2021	2717.5
94	f	2021	6689.5
95	m	2021	1955.5
95	f	2021	5230.0
96	m	2021	1364.5
96	f	2021	3988.0
97	m	2021	914.0
97	f	2021	2913.0
98	m	2021	591.5
98	f	2021	1985.5
99	m	2021	360.0
99	f	2021	1389.5
100	m	2021	425.0
100	f	2021	2130.5
