startage	sex	period	deaths
0	m	6	6
0	f	6	5
0	m	5	17
0	f	5	14
0	m	4	9
0	f	4	7
0	m	3	34
0	f	3	14
0	m	2	27
0	f	2	18
0	m	1	50
0	f	1	26
50	m	6	16
50	f	6	9
50	m	5	24
50	f	5	15
50	m	4	22
50	f	4	14
50	m	3	97
50	f	3	35
50	m	2	65
50	f	2	26
50	m	1	149
50	f	1	39
60	m	6	52
60	f	6	36
60	m	5	81
60	f	5	43
60	m	4	53
60	f	4	22
60	m	3	236
60	f	3	89
60	m	2	210
60	f	2	86
60	m	1	320
60	f	1	118
70	m	6	97
70	f	6	59
70	m	5	88
70	f	5	32
70	m	4	62
70	f	4	26
70	m	3	187
70	f	3	83
70	m	2	304
70	f	2	173
70	m	1	356
70	f	1	153
75	m	6	180
75	f	6	97
75	m	5	151
75	f	5	95
75	m	4	64
75	f	4	48
75	m	3	253
75	f	3	107
75	m	2	511
75	f	2	314
75	m	1	472
75	f	1	296
80	m	6	267
80	f	6	137
80	m	5	210
80	f	5	128
80	m	4	70
80	f	4	54
80	m	3	193
80	f	3	127
80	m	2	696
80	f	2	495
80	m	1	669
80	f	1	480
85	m	6	277
85	f	6	189
85	m	5	216
85	f	5	145
85	m	4	78
85	f	4	61
85	m	3	163
85	f	3	94
85	m	2	728
85	f	2	718
85	m	1	668
85	f	1	706
90	m	6	313
90	f	6	343
90	m	5	243
90	f	5	301
90	m	4	57
90	f	4	91
90	m	3	101
90	f	3	139
90	m	2	769
90	f	2	1047
90	m	1	626
90	f	1	951
