age	deaths	mpop
0	107	53531.0
1	12	56283.5
2	3	56660.0
3	9	57866.5
4	2	58778.0
5	3	60079.0
6	4	60393.5
7	4	60232.5
8	0	60581.5
9	4	60692.0
10	2	60795.0
11	4	61658.5
12	1	61992.5
13	7	60844.0
14	11	60142.5
15	11	59647.5
16	4	58677.0
17	9	57532.5
18	11	57135.5
19	11	56366.0
20	8	54711.5
21	5	53856.0
22	12	54099.5
23	17	54643.5
24	5	55780.0
25	17	57988.0
26	16	61674.0
27	16	66474.0
28	12	70481.5
29	19	73333.5
30	27	75595.0
31	20	77258.0
32	24	76473.5
33	30	74228.0
34	22	72086.0
35	22	69923.5
36	20	68324.0
37	22	66327.5
38	35	64440.0
39	31	63722.0
40	29	63360.5
41	41	64052.0
42	34	63967.0
43	30	61994.0
44	36	61311.0
45	38	61784.0
46	51	63109.0
47	61	65568.0
48	73	66261.5
49	79	66131.0
50	91	66426.0
51	112	65411.5
52	113	63848.5
53	115	64347.0
54	127	66785.0
55	128	68127.0
56	182	68226.5
57	194	68032.5
58	200	65250.5
59	220	61241.5
60	227	58679.5
61	233	57279.5
62	258	56703.5
63	279	56266.0
64	293	56300.0
65	366	56164.0
66	385	55408.5
67	420	54197.5
68	459	53699.5
69	537	53703.5
70	597	52833.5
71	644	53030.0
72	744	54414.5
73	819	55823.5
74	911	56137.0
75	1008	55503.0
76	1187	54297.5
77	1210	52291.0
78	1318	48966.0
79	1382	44182.5
80	1321	38658.0
81	1380	34316.5
82	1517	32301.5
83	1578	30516.5
84	1638	27714.5
85	1722	25028.0
86	1751	22458.5
87	1773	19925.0
88	1841	17842.5
89	1916	16009.5
90	1918	14289.0
91	1984	12400.0
92	1828	10359.5
93	1778	8459.0
94	1570	6790.5
95	1357	5282.5
96	1140	3997.0
97	1017	2959.0
98	761	2078.0
99	529	1375.0
100	1086	2244.0
