age	deaths	mpop
0	122	56393.5
1	12	59303.0
2	4	60159.5
3	9	61333.0
4	8	62092.5
5	2	63415.5
6	4	64238.0
7	6	64223.5
8	5	64231.0
9	5	64292.0
10	2	64225.5
11	4	65304.0
12	3	65741.0
13	8	64650.0
14	9	63966.0
15	7	63286.5
16	13	62079.0
17	20	61192.0
18	22	60953.0
19	36	60040.0
20	32	59116.5
21	34	59819.5
22	45	63674.0
23	38	64488.0
24	33	61664.0
25	39	61976.5
26	43	65739.5
27	42	70396.5
28	50	74092.0
29	45	77328.0
30	50	80029.5
31	56	81412.5
32	42	80334.0
33	51	78209.5
34	47	75680.5
35	65	73314.0
36	46	72545.5
37	59	70680.0
38	62	68409.5
39	54	67558.5
40	69	66743.0
41	74	66833.0
42	75	66802.0
43	73	64544.0
44	73	63760.5
45	83	64306.5
46	61	65457.5
47	98	67742.0
48	95	68268.0
49	115	67982.0
50	122	68169.0
51	147	66940.5
52	138	65410.5
53	141	66006.0
54	219	68646.0
55	233	70301.5
56	248	70300.5
57	280	69646.0
58	281	66824.5
59	308	62728.0
60	338	59605.0
61	357	57745.0
62	402	57104.5
63	420	56651.0
64	499	56116.5
65	547	55921.5
66	592	54851.0
67	615	52970.0
68	683	52435.0
69	764	52129.5
70	813	50692.0
71	935	50709.5
72	1034	51808.5
73	1192	52422.0
74	1219	52379.0
75	1355	51704.5
76	1477	50574.0
77	1687	48462.5
78	1659	44514.0
79	1705	39736.5
80	1748	34257.0
81	1595	29481.0
82	1760	26924.0
83	1783	24300.0
84	1706	21202.0
85	1763	18467.0
86	1652	15892.5
87	1634	13315.5
88	1593	11179.0
89	1503	9519.5
90	1494	7971.5
91	1457	6377.5
92	1181	4924.5
93	1007	3714.0
94	870	2782.0
95	683	1967.0
96	501	1381.5
97	392	918.5
98	258	608.0
99	169	374.0
100	293	430.5
