Age	Sex	Year	pop
0-4	M	1998	251848
0-4	M	1999	240440
0-4	M	2000	234890
0-4	M	2001	234235
0-4	M	2002	237592
0-4	M	2003	242795
0-4	M	2004	249343
0-4	M	2005	254540
0-4	M	2006	262868
0-4	M	2007	269594
0-4	M	2008	275987
0-4	M	2009	281826
0-4	M	2010	288931
0-4	M	2011	291625
0-4	M	2012	294723
0-4	M	2013	297494
0-4	M	2014	300184
0-4	M	2015	301784
0-4	M	2016	307392
0-4	M	2017	309845
0-4	M	2018	311036
0-4	M	2019	309567
0-4	M	2020	305880
0-4	M	2021	302380
0-4	M	2022	296183
0-4	M	2023	286361
0-4	F	1998	239508
0-4	F	1999	228276
0-4	F	2000	222960
0-4	F	2001	221532
0-4	F	2002	224907
0-4	F	2003	230091
0-4	F	2004	236215
0-4	F	2005	241805
0-4	F	2006	249715
0-4	F	2007	255711
0-4	F	2008	260995
0-4	F	2009	266396
0-4	F	2010	272857
0-4	F	2011	275744
0-4	F	2012	278860
0-4	F	2013	281525
0-4	F	2014	283973
0-4	F	2015	284434
0-4	F	2016	289649
0-4	F	2017	292199
0-4	F	2018	293462
0-4	F	2019	292151
0-4	F	2020	289196
0-4	F	2021	286054
0-4	F	2022	280184
0-4	F	2023	271312
5-9	M	1998	315568
5-9	M	1999	311693
5-9	M	2000	300423
5-9	M	2001	285277
5-9	M	2002	269606
5-9	M	2003	257058
5-9	M	2004	246162
5-9	M	2005	240461
5-9	M	2006	240491
5-9	M	2007	244531
5-9	M	2008	250677
5-9	M	2009	258574
5-9	M	2010	264448
5-9	M	2011	272248
5-9	M	2012	279307
5-9	M	2013	286732
5-9	M	2014	293755
5-9	M	2015	302956
5-9	M	2016	309001
5-9	M	2017	314886
5-9	M	2018	318534
5-9	M	2019	320985
5-9	M	2020	319463
5-9	M	2021	320980
5-9	M	2022	319820
5-9	M	2023	316609
5-9	F	1998	299301
5-9	F	1999	296317
5-9	F	2000	285489
5-9	F	2001	272123
5-9	F	2002	257430
5-9	F	2003	244541
5-9	F	2004	233757
5-9	F	2005	228226
5-9	F	2006	227530
5-9	F	2007	231707
5-9	F	2008	238058
5-9	F	2009	245360
5-9	F	2010	251209
5-9	F	2011	258689
5-9	F	2012	264686
5-9	F	2013	271218
5-9	F	2014	277859
5-9	F	2015	286162
5-9	F	2016	291852
5-9	F	2017	297294
5-9	F	2018	300939
5-9	F	2019	303099
5-9	F	2020	300892
5-9	F	2021	302622
5-9	F	2022	301335
5-9	F	2023	298653
10-14	M	1998	278622
10-14	M	1999	289173
10-14	M	2000	301305
10-14	M	2001	311741
10-14	M	2002	320033
10-14	M	2003	320547
10-14	M	2004	316854
10-14	M	2005	305500
10-14	M	2006	291264
10-14	M	2007	276450
10-14	M	2008	265004
10-14	M	2009	255238
10-14	M	2010	250333
10-14	M	2011	249905
10-14	M	2012	253966
10-14	M	2013	261331
10-14	M	2014	270418
10-14	M	2015	278135
10-14	M	2016	289269
10-14	M	2017	298557
10-14	M	2018	306645
10-14	M	2019	313352
10-14	M	2020	320338
10-14	M	2021	322770
10-14	M	2022	325003
10-14	M	2023	324475
10-14	F	1998	263615
10-14	F	1999	273802
10-14	F	2000	285731
10-14	F	2001	295367
10-14	F	2002	302357
10-14	F	2003	303958
10-14	F	2004	301250
10-14	F	2005	290244
10-14	F	2006	277719
10-14	F	2007	263740
10-14	F	2008	251681
10-14	F	2009	242048
10-14	F	2010	237181
10-14	F	2011	236059
10-14	F	2012	240317
10-14	F	2013	247801
10-14	F	2014	255844
10-14	F	2015	263672
10-14	F	2016	273831
10-14	F	2017	281896
10-14	F	2018	289113
10-14	F	2019	295667
10-14	F	2020	302029
10-14	F	2021	304297
10-14	F	2022	306568
10-14	F	2023	306171
15-19	M	1998	258383
15-19	M	1999	259097
15-19	M	2000	261436
15-19	M	2001	267153
15-19	M	2002	273486
15-19	M	2003	284417
15-19	M	2004	295205
15-19	M	2005	307083
15-19	M	2006	318177
15-19	M	2007	327748
15-19	M	2008	329731
15-19	M	2009	328011
15-19	M	2010	318174
