Sex	Age	Year	Month	U07	U08	U09
M	0–4	2020	Januari	0	0	0
M	0–4	2020	Februari	0	0	0
M	0–4	2020	Mars	5	0	0
M	0–4	2020	April	8	0	0
M	0–4	2020	Maj	12	0	0
M	0–4	2020	Juni	7	0	0
M	0–4	2020	Juli	2	0	0
M	0–4	2020	Augusti	2	0	0
M	0–4	2020	September	1	0	0
M	0–4	2020	Oktober	8	0	0
M	0–4	2020	November	16	0	0
M	0–4	2020	December	18	0	0
M	0–4	2021	Januari	13	1	0
M	0–4	2021	Februari	11	0	0
M	0–4	2021	Mars	15	0	0
M	0–4	2021	April	17	0	0
M	0–4	2021	Maj	16	0	0
M	0–4	2021	Juni	2	0	0
M	0–4	2021	Juli	4	0	0
M	0–4	2021	Augusti	4	0	0
M	0–4	2021	September	2	0	0
M	0–4	2021	Oktober	5	0	0
M	0–4	2021	November	5	0	0
M	0–4	2021	December	20	0	0
M	5–9	2020	Januari	0	0	0
M	5–9	2020	Februari	0	0	0
M	5–9	2020	Mars	1	0	0
M	5–9	2020	April	3	0	0
M	5–9	2020	Maj	1	0	0
M	5–9	2020	Juni	1	0	0
M	5–9	2020	Juli	2	0	0
M	5–9	2020	Augusti	0	0	0
M	5–9	2020	September	0	0	0
M	5–9	2020	Oktober	0	0	0
M	5–9	2020	November	1	0	0
M	5–9	2020	December	8	0	0
M	5–9	2021	Januari	1	0	0
M	5–9	2021	Februari	4	0	0
M	5–9	2021	Mars	3	0	0
M	5–9	2021	April	4	0	0
M	5–9	2021	Maj	2	0	0
M	5–9	2021	Juni	0	0	0
M	5–9	2021	Juli	0	0	0
M	5–9	2021	Augusti	1	0	0
M	5–9	2021	September	2	0	0
M	5–9	2021	Oktober	1	0	0
M	5–9	2021	November	0	0	0
M	5–9	2021	December	3	0	0
M	10–14	2020	Januari	0	0	0
M	10–14	2020	Februari	0	0	0
M	10–14	2020	Mars	2	0	0
M	10–14	2020	April	3	0	0
M	10–14	2020	Maj	4	0	0
M	10–14	2020	Juni	4	0	0
M	10–14	2020	Juli	0	0	0
M	10–14	2020	Augusti	2	0	0
M	10–14	2020	September	0	0	0
M	10–14	2020	Oktober	1	0	0
M	10–14	2020	November	6	0	0
M	10–14	2020	December	10	0	0
M	10–14	2021	Januari	3	0	0
M	10–14	2021	Februari	1	0	0
M	10–14	2021	Mars	4	0	0
M	10–14	2021	April	3	0	1
M	10–14	2021	Maj	2	0	0
M	10–14	2021	Juni	2	0	0
M	10–14	2021	Juli	0	0	0
M	10–14	2021	Augusti	0	0	0
M	10–14	2021	September	1	0	0
M	10–14	2021	Oktober	2	0	0
M	10–14	2021	November	1	0	0
M	10–14	2021	December	1	0	0
M	15–19	2020	Januari	0	0	0
M	15–19	2020	Februari	0	0	0
M	15–19	2020	Mars	4	0	0
M	15–19	2020	April	5	0	0
M	15–19	2020	Maj	7	0	0
M	15–19	2020	Juni	7	0	0
M	15–19	2020	Juli	3	0	0
M	15–19	2020	Augusti	1	0	0
M	15–19	2020	September	1	0	0
M	15–19	2020	Oktober	2	0	0
M	15–19	2020	November	5	0	0
M	15–19	2020	December	9	0	0
M	15–19	2021	Januari	6	0	0
M	15–19	2021	Februari	7	0	0
M	15–19	2021	Mars	3	0	0
M	15–19	2021	April	5	0	1
M	15–19	2021	Maj	9	0	0
M	15–19	2021	Juni	4	0	0
M	15–19	2021	Juli	0	0	0
M	15–19	2021	Augusti	1	0	0
M	15–19	2021	September	5	0	0
M	15–19	2021	Oktober	1	0	0
M	15–19	2021	November	0	0	0
M	15–19	2021	December	2	0	0
M	20–24	2020	Januari	0	0	0
M	20–24	2020	Februari	0	0	0
M	20–24	2020	Mars	13	0	0
M	20–24	2020	April	19	0	0
M	20–24	2020	Maj	12	0	0
M	20–24	2020	Juni	17	0	0
M	20–24	2020	Juli	2	0	0
M	20–24	2020	Augusti	4	0	0
M	20–24	2020	September	8	0	0
M	20–24	2020	Oktober	5	0	0
