Sex	Age	Year	Month	J09	J10	J11
M	0–4	1998	Januari	0	0	1
M	0–4	1998	Februari	0	4	14
M	0–4	1998	Mars	0	0	18
M	0–4	1998	April	0	2	1
M	0–4	1998	Maj	0	0	1
M	0–4	1998	Juni	0	0	0
M	0–4	1998	Juli	0	0	0
M	0–4	1998	Augusti	0	0	0
M	0–4	1998	September	0	0	1
M	0–4	1998	Oktober	0	1	4
M	0–4	1998	November	0	0	1
M	0–4	1998	December	0	1	2
M	0–4	1999	Januari	0	0	0
M	0–4	1999	Februari	0	5	14
M	0–4	1999	Mars	0	1	11
M	0–4	1999	April	0	0	1
M	0–4	1999	Maj	0	0	0
M	0–4	1999	Juni	0	0	1
M	0–4	1999	Juli	0	0	0
M	0–4	1999	Augusti	0	0	0
M	0–4	1999	September	0	0	3
M	0–4	1999	Oktober	0	0	1
M	0–4	1999	November	0	0	3
M	0–4	1999	December	0	1	7
M	0–4	2000	Januari	0	6	8
M	0–4	2000	Februari	0	0	5
M	0–4	2000	Mars	0	1	5
M	0–4	2000	April	0	1	0
M	0–4	2000	Maj	0	0	1
M	0–4	2000	Juni	0	0	0
M	0–4	2000	Juli	0	0	1
M	0–4	2000	Augusti	0	0	0
M	0–4	2000	September	0	0	0
M	0–4	2000	Oktober	0	0	1
M	0–4	2000	November	0	0	0
M	0–4	2000	December	0	0	0
M	0–4	2001	Januari	0	0	2
M	0–4	2001	Februari	0	3	4
M	0–4	2001	Mars	0	4	4
M	0–4	2001	April	0	2	0
M	0–4	2001	Maj	0	1	1
M	0–4	2001	Juni	0	0	0
M	0–4	2001	Juli	0	0	0
M	0–4	2001	Augusti	0	0	0
M	0–4	2001	September	0	0	0
M	0–4	2001	Oktober	0	0	0
M	0–4	2001	November	0	0	0
M	0–4	2001	December	0	0	2
M	0–4	2002	Januari	0	1	4
M	0–4	2002	Februari	0	3	5
M	0–4	2002	Mars	0	8	11
M	0–4	2002	April	0	2	4
M	0–4	2002	Maj	0	1	0
M	0–4	2002	Juni	0	0	0
M	0–4	2002	Juli	0	0	0
M	0–4	2002	Augusti	0	0	1
M	0–4	2002	September	0	0	0
M	0–4	2002	Oktober	0	0	1
M	0–4	2002	November	0	1	1
M	0–4	2002	December	0	1	0
M	0–4	2003	Januari	0	0	2
M	0–4	2003	Februari	0	2	4
M	0–4	2003	Mars	0	2	3
M	0–4	2003	April	0	1	3
M	0–4	2003	Maj	0	0	1
M	0–4	2003	Juni	0	0	1
M	0–4	2003	Juli	0	0	2
M	0–4	2003	Augusti	0	0	1
M	0–4	2003	September	0	0	0
M	0–4	2003	Oktober	0	0	1
M	0–4	2003	November	0	1	2
M	0–4	2003	December	0	24	32
M	0–4	2004	Januari	0	15	8
M	0–4	2004	Februari	0	2	3
M	0–4	2004	Mars	0	0	2
M	0–4	2004	April	0	1	1
M	0–4	2004	Maj	0	0	0
M	0–4	2004	Juni	0	0	0
M	0–4	2004	Juli	0	1	1
M	0–4	2004	Augusti	0	0	1
M	0–4	2004	September	0	0	0
M	0–4	2004	Oktober	0	0	0
M	0–4	2004	November	0	1	0
M	0–4	2004	December	0	1	0
M	0–4	2005	Januari	0	1	1
M	0–4	2005	Februari	0	6	5
M	0–4	2005	Mars	0	7	9
M	0–4	2005	April	0	1	3
M	0–4	2005	Maj	0	0	0
M	0–4	2005	Juni	0	0	1
M	0–4	2005	Juli	0	0	0
M	0–4	2005	Augusti	0	0	0
M	0–4	2005	September	0	0	0
M	0–4	2005	Oktober	0	0	0
M	0–4	2005	November	0	0	1
M	0–4	2005	December	0	1	3
