ctry	name	count	yr_min	yr_max
4120	Germany, West Berlin	3	1955	1957
4160	Iceland	1	1973	1973
3150	Israel	10	1965	1974
4050	Denmark	7	1958	1975
2040	Barbados	1	1975	1975
2090	Canada	17	1961	1978
5150	New Zealand	31	1950	1981
4220	Norway	15	1961	1981
4308	United Kingdom	33	1950	1984
4310	United Kingdom, England and Wales	33	1950	1984
4300	Switzerland	25	1954	1984
2450	United States of America	36	1950	1985
4170	Ireland	25	1960	1985
4280	Spain	7	1979	1985
2050	Bermuda	2	1971	1985
5020	Australia	38	1950	1987
4320	United Kingdom, Northern Ireland	36	1952	1987
4180	Italy	22	1965	1987
4205	Monaco	2	1986	1987
4330	United Kingdom, Scotland	39	1950	1988
4190	Luxembourg	21	1968	1990
4090	Germany, Former Democratic Republic	17	1973	1990
4100	Germany, Former Federal Republic	15	1976	1990
4340	Yugoslavia, Former	13	1978	1990
4304	USSR, Former	9	1982	1990
4040	Czechoslovakia, Former	24	1968	1991
4240	Portugal	1	1991	1991
4290	Sweden	43	1952	1994
4276	Slovenia	9	1985	1994
4070	Finland	39	1956	1995
4200	Malta	22	1965	1999
4350	Serbia and Montenegro, Former	6	1997	2002
4010	Austria	37	1967	2003
4085	Germany	14	1990	2003
1300	Mauritius	8	1997	2004
4301	Tajikistan	4	2002	2005
4012	Azerbaijan	22	1982	2007
4140	Greece	25	1983	2008
3400	Turkey	18	1988	2008
2455	Virgin Islands (USA)	1	2008	2008
4182	Kazakhstan	25	1985	2009
4084	Georgia	23	1981	2009
4005	Albania	12	1998	2009
4207	Montenegro	10	2000	2009
3370	Syrian Arab Republic	4	2005	2010
4302	Turkmenistan	17	1996	2012
4230	Poland	36	1978	2015
4045	Czech Republic	30	1986	2015
4038	Croatia	32	1985	2016
4272	Russian Federation	38	1980	2017
4274	Slovakia	23	1992	2017
4260	Republic of Moldova	31	1981	2018
4018	Belarus	28	1981	2018
4195	TFYR Macedonia	27	1991	2018
4025	Bosnia and Herzegovina	10	1987	2018
4270	Romania	54	1963	2019
4303	Ukraine	35	1981	2019
4335	Uzbekistan	24	1993	2019
4273	Serbia	22	1998	2019
4184	Kyrgyzstan	20	2000	2019
1125	Egypt	4	2014	2019
4030	Bulgaria	58	1964	2021
4186	Latvia	42	1980	2021
4150	Hungary	61	1961	2022
4055	Estonia	40	1981	2022
4188	Lithuania	40	1981	2022
4007	Armenia	36	1981	2022
