country	name	count_all	yr_min_all	yr_max_all	count	yr_min	yr_max
2090	Canada	75	1950	2024	1	1965	1965
5150	New Zealand	71	1950	2020	5	1965	1969
3150	Israel	74	1950	2023	3	1971	1973
2450	United States of America	74	1950	2023	25	1950	1974
4220	Norway	74	1951	2024	8	1966	1974
4050	Denmark	72	1951	2022	8	1965	1976
5020	Australia	74	1950	2024	20	1956	1976
4170	Ireland	73	1950	2022	11	1965	1980
4330	United Kingdom, Scotland	75	1950	2024	24	1955	1981
4150	Hungary	70	1955	2024	2	1969	1982
2050	Bermuda	51	1964	2021	1	1983	1983
4160	Iceland	74	1951	2024	4	1971	1983
4320	United Kingdom, Northern Ireland	75	1950	2024	28	1956	1984
4070	Finland	73	1952	2024	18	1966	1985
4188	Lithuania	42	1981	2024	1	1987	1987
4200	Malta	57	1965	2022	13	1967	1988
4090	Germany, Former Democratic Republic	17	1973	1990	16	1973	1989
4055	Estonia	42	1981	2024	7	1981	1990
4040	Czechoslovakia, Former	39	1953	1991	7	1984	1991
4290	Sweden	74	1951	2024	36	1956	1991
3400	Turkey	39	1983	2023	1	1993	1993
4045	Czech Republic	39	1986	2024	12	1986	1997
4350	Serbia and Montenegro, Former	6	1997	2002	5	1997	2001
5070	Fiji	14	1978	2019	1	2001	2001
3370	Syrian Arab Republic	23	1973	2010	2	2005	2006
4012	Azerbaijan	23	1981	2007	7	1999	2007
4273	Serbia	27	1998	2024	9	1998	2008
4302	Turkmenistan	33	1981	2015	7	2002	2008
4005	Albania	21	1987	2009	2	2008	2009
4084	Georgia	37	1981	2024	23	1981	2009
4207	Montenegro	12	2000	2019	5	2000	2009
4186	Latvia	45	1980	2024	16	1980	2017
4195	North Macedonia	33	1991	2024	22	1994	2017
4018	Belarus	28	1981	2018	8	1985	2018
4270	Romania	64	1959	2023	38	1980	2018
4301	Tajikistan	30	1981	2022	1	2018	2018
1125	Egypt	47	1955	2019	2	2018	2019
4303	Ukraine	35	1981	2019	23	1985	2019
4030	Bulgaria	60	1964	2023	46	1978	2023
4260	Republic of Moldova	41	1981	2023	7	2013	2023
4007	Armenia	40	1981	2024	12	1998	2024
4335	Uzbekistan	39	1981	2024	20	2002	2024
