year	month	sex	age	ca	deaths
1969	1	1	0	F23	803
1969	1	1	75	F23	322
1969	2	1	0	F23	688
1969	2	1	75	F23	246
1969	3	1	0	F23	747
1969	3	1	75	F23	288
1969	4	1	0	F23	733
1969	4	1	75	F23	289
1969	5	1	0	F23	662
1969	5	1	75	F23	267
1969	6	1	0	F23	705
1969	6	1	75	F23	280
1969	7	1	0	F23	705
1969	7	1	75	F23	292
1969	8	1	0	F23	627
1969	8	1	75	F23	233
1969	9	1	0	F23	658
1969	9	1	75	F23	265
1969	10	1	0	F23	708
1969	10	1	75	F23	270
1969	11	1	0	F23	749
1969	11	1	75	F23	260
1969	12	1	0	F23	836
1969	12	1	75	F23	316
1969	1	2	0	F23	451
1969	1	2	75	F23	252
1969	2	2	0	F23	367
1969	2	2	75	F23	216
1969	3	2	0	F23	406
1969	3	2	75	F23	225
1969	4	2	0	F23	441
1969	4	2	75	F23	255
1969	5	2	0	F23	410
1969	5	2	75	F23	226
1969	6	2	0	F23	404
1969	6	2	75	F23	240
1969	7	2	0	F23	417
1969	7	2	75	F23	259
1969	8	2	0	F23	372
1969	8	2	75	F23	221
1969	9	2	0	F23	381
1969	9	2	75	F23	231
1969	10	2	0	F23	395
1969	10	2	75	F23	236
1969	11	2	0	F23	380
1969	11	2	75	F23	229
1969	12	2	0	F23	444
1969	12	2	75	F23	234
1970	1	1	0	F23	779
1970	1	1	75	F23	317
1970	2	1	0	F23	646
1970	2	1	75	F23	254
1970	3	1	0	F23	694
1970	3	1	75	F23	273
1970	4	1	0	F23	668
1970	4	1	75	F23	238
1970	5	1	0	F23	697
1970	5	1	75	F23	270
1970	6	1	0	F23	698
1970	6	1	75	F23	256
1970	7	1	0	F23	684
1970	7	1	75	F23	257
1970	8	1	0	F23	668
1970	8	1	75	F23	228
1970	9	1	0	F23	732
1970	9	1	75	F23	274
1970	10	1	0	F23	718
1970	10	1	75	F23	258
1970	11	1	0	F23	752
1970	11	1	75	F23	275
1970	12	1	0	F23	837
1970	12	1	75	F23	312
1970	1	2	0	F23	459
1970	1	2	75	F23	255
1970	2	2	0	F23	392
1970	2	2	75	F23	229
1970	3	2	0	F23	409
1970	3	2	75	F23	255
1970	4	2	0	F23	347
1970	4	2	75	F23	209
1970	5	2	0	F23	371
1970	5	2	75	F23	219
1970	6	2	0	F23	393
1970	6	2	75	F23	224
1970	7	2	0	F23	351
1970	7	2	75	F23	206
1970	8	2	0	F23	391
1970	8	2	75	F23	231
1970	9	2	0	F23	393
1970	9	2	75	F23	222
1970	10	2	0	F23	455
1970	10	2	75	F23	272
1970	11	2	0	F23	403
1970	11	2	75	F23	224
1970	12	2	0	F23	423
1970	12	2	75	F23	252
1969	1	1	0	F24	537
1969	1	1	75	F24	309
1969	2	1	0	F24	542
1969	2	1	75	F24	315
1969	3	1	0	F24	504
1969	3	1	75	F24	309
1969	4	1	0	F24	487
1969	4	1	75	F24	284
1969	5	1	0	F24	481
1969	5	1	75	F24	296
1969	6	1	0	F24	503
1969	6	1	75	F24	312
1969	7	1	0	F24	487
1969	7	1	75	F24	297
1969	8	1	0	F24	444
1969	8	1	75	F24	254
1969	9	1	0	F24	458
1969	9	1	75	F24	278
1969	10	1	0	F24	451
1969	10	1	75	F24	262
1969	11	1	0	F24	491
1969	11	1	75	F24	290
1969	12	1	0	F24	686
1969	12	1	75	F24	390
1969	1	2	0	F24	545
1969	1	2	75	F24	430
1969	2	2	0	F24	442
1969	2	2	75	F24	339
1969	3	2	0	F24	513
1969	3	2	75	F24	413
1969	4	2	0	F24	479
1969	4	2	75	F24	386
1969	5	2	0	F24	429
1969	5	2	75	F24	334
1969	6	2	0	F24	467
1969	6	2	75	F24	355
1969	7	2	0	F24	406
1969	7	2	75	F24	315
1969	8	2	0	F24	411
1969	8	2	75	F24	325
1969	9	2	0	F24	404
1969	9	2	75	F24	318
1969	10	2	0	F24	413
1969	10	2	75	F24	324
1969	11	2	0	F24	450
1969	11	2	75	F24	340
1969	12	2	0	F24	513
1969	12	2	75	F24	364
1970	1	1	0	F24	717
1970	1	1	75	F24	410
1970	2	1	0	F24	563
1970	2	1	75	F24	329
1970	3	1	0	F24	557
1970	3	1	75	F24	337
1970	4	1	0	F24	523
1970	4	1	75	F24	305
1970	5	1	0	F24	577
1970	5	1	75	F24	342
1970	6	1	0	F24	533
1970	6	1	75	F24	327
1970	7	1	0	F24	521
1970	7	1	75	F24	319
1970	8	1	0	F24	535
1970	8	1	75	F24	318
1970	9	1	0	F24	566
1970	9	1	75	F24	343
1970	10	1	0	F24	617
1970	10	1	75	F24	380
1970	11	1	0	F24	621
1970	11	1	75	F24	361
1970	12	1	0	F24	658
1970	12	1	75	F24	431
1970	1	2	0	F24	677
1970	1	2	75	F24	513
1970	2	2	0	F24	526
1970	2	2	75	F24	399
1970	3	2	0	F24	549
1970	3	2	75	F24	435
1970	4	2	0	F24	531
1970	4	2	75	F24	403
1970	5	2	0	F24	578
1970	5	2	75	F24	455
1970	6	2	0	F24	493
1970	6	2	75	F24	374
1970	7	2	0	F24	465
1970	7	2	75	F24	359
1970	8	2	0	F24	497
1970	8	2	75	F24	373
1970	9	2	0	F24	487
1970	9	2	75	F24	371
1970	10	2	0	F24	531
1970	10	2	75	F24	421
1970	11	2	0	F24	544
