ctry,yr,li,age,sex,ca1,ca2,rat
4290,1969,8,1,1,8621,45024,0.19148
4290,1969,8,1,2,4868,38282,0.12716
4290,1970,8,1,1,8573,43415,0.19747
4290,1970,8,1,2,4787,36608,0.13076
4290,1971,8,1,1,9349,45561,0.20520
4290,1971,8,1,2,5082,37173,0.13671
4290,1972,8,1,1,8573,46008,0.18634
4290,1972,8,1,2,4787,38043,0.12583
4290,1973,8,1,1,9634,47124,0.20444
4290,1973,8,1,2,5333,38508,0.13849
4290,1974,8,1,1,9317,47526,0.19604
4290,1974,8,1,2,5435,38779,0.14015
4290,1975,8,1,1,9458,48322,0.19573
4290,1975,8,1,2,5572,39880,0.13972
4290,1976,8,1,1,10075,49630,0.20300
4290,1976,8,1,2,5788,41041,0.14103
4290,1977,8,1,1,9957,48652,0.20466
4290,1977,8,1,2,5751,39532,0.14548
4290,1978,8,1,1,10432,49264,0.21176
4290,1978,8,1,2,6128,40405,0.15166
4290,1979,8,1,1,11017,49947,0.22057
4290,1979,8,1,2,6576,41113,0.15995
4290,1980,8,1,1,10926,49821,0.21931
4290,1980,8,1,2,6527,41974,0.15550
4290,1981,8,1,1,11539,49726,0.23205
4290,1981,8,1,2,6777,42304,0.16020
4290,1982,8,1,1,11319,49013,0.23094
4290,1982,8,1,2,6600,41653,0.15845
4290,1983,8,1,1,10849,48984,0.22148
4290,1983,8,1,2,6522,41799,0.15603
4290,1984,8,1,1,10606,48496,0.21870
4290,1984,8,1,2,6418,41971,0.15292
4290,1985,8,1,1,10777,50034,0.21539
4290,1985,8,1,2,6565,43979,0.14928
4290,1986,8,1,1,10710,49535,0.21621
4290,1986,8,1,2,6776,43733,0.15494
4290,1987,9,1,1,10503,49342,0.212861
4290,1987,9,1,2,6581,43973,0.14966
4290,1987,9,2,1,0,358,0
4290,1987,9,2,2,0,283,0
4290,1987,9,3,1,0,23,0
4290,1987,9,3,2,0,20,0
4290,1987,9,4,1,0,19,0
4290,1987,9,4,2,0,13,0
4290,1987,9,5,1,0,10,0
4290,1987,9,5,2,0,15,0
4290,1987,9,6,1,0,9,0
4290,1987,9,6,2,0,9,0
4290,1987,9,7,1,0,39,0
4290,1987,9,7,2,0,26,0
4290,1987,9,8,1,0,60,0
4290,1987,9,8,2,0,30,0
4290,1987,9,9,1,0,192,0
4290,1987,9,9,2,0,80,0
4290,1987,9,10,1,0,294,0
4290,1987,9,10,2,1,96,0.010417
4290,1987,9,11,1,2,313,0.00639
4290,1987,9,11,2,1,116,0.008621
4290,1987,9,12,1,5,356,0.014045
4290,1987,9,12,2,2,170,0.011765
4290,1987,9,13,1,25,480,0.052083
4290,1987,9,13,2,7,253,0.027668
4290,1987,9,14,1,58,699,0.082976
4290,1987,9,14,2,12,407,0.029484
4290,1987,9,15,1,129,915,0.140984
4290,1987,9,15,2,23,499,0.046092
4290,1987,9,16,1,236,1281,0.184231
4290,1987,9,16,2,35,693,0.050505
4290,1987,9,17,1,481,2057,0.233836
4290,1987,9,17,2,88,1055,0.083412
4290,1987,9,18,1,886,3330,0.266066
4290,1987,9,18,2,240,1867,0.128548
4290,1987,9,19,1,1495,5320,0.281015
4290,1987,9,19,2,492,2954,0.166554
4290,1987,9,20,1,2037,7413,0.274788
4290,1987,9,20,2,895,4661,0.192019
4290,1987,9,21,1,2213,9244,0.239399
4290,1987,9,21,2,1488,7156,0.207937
4290,1987,9,22,1,1694,8387,0.201979
4290,1987,9,22,2,1596,9036,0.176627
4290,1987,9,23,1,1242,8543,0.145382
4290,1987,9,23,2,1701,14534,0.117036
4290,1988,9,1,1,10095,50427,0.20019
4290,1988,9,1,2,6699,46329,0.144596
4290,1988,9,2,1,0,380,0
4290,1988,9,2,2,0,272,0
4290,1988,9,3,1,0,27,0
4290,1988,9,3,2,0,26,0
4290,1988,9,4,1,0,13,0
4290,1988,9,4,2,0,15,0
4290,1988,9,5,1,0,13,0
4290,1988,9,5,2,0,7,0
4290,1988,9,6,1,0,10,0
4290,1988,9,6,2,0,3,0
4290,1988,9,7,1,0,41,0
4290,1988,9,7,2,0,29,0
4290,1988,9,8,1,0,63,0
4290,1988,9,8,2,0,31,0
4290,1988,9,9,1,0,183,0
4290,1988,9,9,2,0,77,0
4290,1988,9,10,1,1,308,0.003247
