ctry,yr,li,age,sex,ca1,ca2,rat
4290,1951,7,1,1,7464,35339,0.21121
4290,1951,7,1,2,6821,34460,0.19794
4290,1951,7,2,1,0,1385,0.00000
4290,1951,7,2,2,0,993,0.00000
4290,1951,7,3,1,0,120,0.00000
4290,1951,7,3,2,0,109,0.00000
4290,1951,7,4,1,0,90,0.00000
4290,1951,7,4,2,0,70,0.00000
4290,1951,7,5,1,0,61,0.00000
4290,1951,7,5,2,0,54,0.00000
4290,1951,7,6,1,0,66,0.00000
4290,1951,7,6,2,0,30,0.00000
4290,1951,7,7,1,0,235,0.00000
4290,1951,7,7,2,0,128,0.00000
4290,1951,7,8,1,0,120,0.00000
4290,1951,7,8,2,0,90,0.00000
4290,1951,7,9,1,0,219,0.00000
4290,1951,7,9,2,1,125,0.00800
4290,1951,7,10,1,3,322,0.00932
4290,1951,7,10,2,2,184,0.01087
4290,1951,7,11,1,3,358,0.00838
4290,1951,7,11,2,3,229,0.01310
4290,1951,7,12,1,14,452,0.03097
4290,1951,7,12,2,6,329,0.01824
4290,1951,7,13,1,26,524,0.04962
4290,1951,7,13,2,12,429,0.02797
4290,1951,7,14,1,61,792,0.07702
4290,1951,7,14,2,22,589,0.03735
4290,1951,7,15,1,189,1147,0.16478
4290,1951,7,15,2,42,948,0.04430
4290,1951,7,16,1,297,1555,0.19100
4290,1951,7,16,2,116,1274,0.09105
4290,1951,7,17,1,508,2167,0.23443
4290,1951,7,17,2,230,1778,0.12936
4290,1951,7,18,1,748,2998,0.24950
4290,1951,7,18,2,468,2481,0.18863
4290,1951,7,19,1,1022,3873,0.26388
4290,1951,7,19,2,800,3509,0.22799
4290,1951,7,20,1,1310,4899,0.26740
4290,1951,7,20,2,1150,4849,0.23716
4290,1951,7,21,1,1389,5287,0.26272
4290,1951,7,21,2,1464,5682,0.25766
4290,1951,7,22,1,1017,4384,0.23198
4290,1951,7,22,2,1306,5068,0.25770
4290,1951,7,23,1,877,4285,0.20467
4290,1951,7,23,2,1199,5512,0.21753
4290,1952,7,1,1,8040,34810,0.23097
4290,1952,7,1,2,6887,33460,0.20583
4290,1952,7,2,1,0,1264,0.00000
4290,1952,7,2,2,0,943,0.00000
4290,1952,7,3,1,0,99,0.00000
4290,1952,7,3,2,0,89,0.00000
4290,1952,7,4,1,0,84,0.00000
4290,1952,7,4,2,0,50,0.00000
4290,1952,7,5,1,0,62,0.00000
4290,1952,7,5,2,0,48,0.00000
4290,1952,7,6,1,0,70,0.00000
4290,1952,7,6,2,0,38,0.00000
4290,1952,7,7,1,0,225,0.00000
4290,1952,7,7,2,1,109,0.00917
4290,1952,7,8,1,0,115,0.00000
4290,1952,7,8,2,0,77,0.00000
4290,1952,7,9,1,3,226,0.01327
4290,1952,7,9,2,0,95,0.00000
4290,1952,7,10,1,1,296,0.00338
4290,1952,7,10,2,0,138,0.00000
4290,1952,7,11,1,4,333,0.01201
4290,1952,7,11,2,5,194,0.02577
4290,1952,7,12,1,15,454,0.03304
4290,1952,7,12,2,7,298,0.02349
4290,1952,7,13,1,20,545,0.03670
4290,1952,7,13,2,15,379,0.03958
4290,1952,7,14,1,66,779,0.08472
4290,1952,7,14,2,24,611,0.03928
4290,1952,7,15,1,171,1078,0.15863
4290,1952,7,15,2,38,819,0.04640
4290,1952,7,16,1,325,1601,0.20300
4290,1952,7,16,2,102,1285,0.07938
4290,1952,7,17,1,532,2181,0.24392
4290,1952,7,17,2,220,1730,0.12717
4290,1952,7,18,1,818,2950,0.27729
4290,1952,7,18,2,430,2509,0.17138
4290,1952,7,19,1,1137,3958,0.28727
4290,1952,7,19,2,762,3560,0.21404
4290,1952,7,20,1,1343,4771,0.28149
4290,1952,7,20,2,1235,4847,0.25480
4290,1952,7,21,1,1531,5373,0.28494
4290,1952,7,21,2,1500,5579,0.26887
4290,1952,7,22,1,1121,4224,0.26539
4290,1952,7,22,2,1308,4894,0.26727
4290,1952,7,23,1,953,4122,0.23120
4290,1952,7,23,2,1240,5168,0.23994
4290,1953,7,1,1,8803,35428,0.24848
4290,1953,7,1,2,7654,34125,0.22429
4290,1953,7,2,1,1,1191,0.00084
4290,1953,7,2,2,0,873,0.00000
4290,1953,7,3,1,0,102,0.00000
4290,1953,7,3,2,0,80,0.00000
4290,1953,7,4,1,0,59,0.00000
4290,1953,7,4,2,0,57,0.00000
4290,1953,7,5,1,0,63,0.00000
4290,1953,7,5,2,0,38,0.00000
4290,1953,7,6,1,0,54,0.00000
4290,1953,7,6,2,0,25,0.00000
4290,1953,7,7,1,0,250,0.00000
4290,1953,7,7,2,0,120,0.00000
4290,1953,7,8,1,1,147,0.00680
4290,1953,7,8,2,0,73,0.00000
4290,1953,7,9,1,1,235,0.00426
4290,1953,7,9,2,0,96,0.00000
4290,1953,7,10,1,0,328,0.00000
4290,1953,7,10,2,1,150,0.00667
4290,1953,7,11,1,4,363,0.01102
4290,1953,7,11,2,1,186,0.00538
4290,1953,7,12,1,9,454,0.01982
4290,1953,7,12,2,5,302,0.01656
4290,1953,7,13,1,16,533,0.03002
4290,1953,7,13,2,7,362,0.01934
4290,1953,7,14,1,69,767,0.08996
4290,1953,7,14,2,19,582,0.03265
4290,1953,7,15,1,190,1096,0.17336
4290,1953,7,15,2,60,827,0.07255
4290,1953,7,16,1,329,1520,0.21645
4290,1953,7,16,2,111,1272,0.08726
4290,1953,7,17,1,601,2312,0.25995
4290,1953,7,17,2,261,1764,0.14796
4290,1953,7,18,1,826,2995,0.27579
4290,1953,7,18,2,418,2470,0.16923
4290,1953,7,19,1,1203,4093,0.29392
4290,1953,7,19,2,855,3696,0.23133
4290,1953,7,20,1,1502,4903,0.30634
4290,1953,7,20,2,1363,5021,0.27146
4290,1953,7,21,1,1700,5581,0.30460
4290,1953,7,21,2,1632,5791,0.28182
4290,1953,7,22,1,1378,4528,0.30433
4290,1953,7,22,2,1578,5229,0.30178
4290,1953,7,23,1,973,3854,0.25246
4290,1953,7,23,2,1343,5111,0.26277
4290,1954,7,1,1,9018,35338,0.25519
4290,1954,7,1,2,7610,33692,0.22587
4290,1954,7,2,1,0,1191,0.00000
4290,1954,7,2,2,0,775,0.00000
4290,1954,7,3,1,0,89,0.00000
4290,1954,7,3,2,0,71,0.00000
4290,1954,7,4,1,0,66,0.00000
4290,1954,7,4,2,0,43,0.00000
4290,1954,7,5,1,0,49,0.00000
4290,1954,7,5,2,0,40,0.00000
4290,1954,7,6,1,0,45,0.00000
4290,1954,7,6,2,0,34,0.00000
4290,1954,7,7,1,0,162,0.00000
4290,1954,7,7,2,0,117,0.00000
4290,1954,7,8,1,1,127,0.00787
4290,1954,7,8,2,1,98,0.01020
4290,1954,7,9,1,0,193,0.00000
4290,1954,7,9,2,0,85,0.00000
4290,1954,7,10,1,1,279,0.00358
4290,1954,7,10,2,2,115,0.01739
4290,1954,7,11,1,9,301,0.02990
4290,1954,7,11,2,4,185,0.02162
4290,1954,7,12,1,8,405,0.01975
4290,1954,7,12,2,1,282,0.00355
4290,1954,7,13,1,30,512,0.05859
4290,1954,7,13,2,14,354,0.03955
4290,1954,7,14,1,77,741,0.10391
4290,1954,7,14,2,27,560,0.04821
4290,1954,7,15,1,205,1132,0.18110
4290,1954,7,15,2,43,852,0.05047
4290,1954,7,16,1,344,1533,0.22440
4290,1954,7,16,2,97,1217,0.07970
4290,1954,7,17,1,583,2206,0.26428
4290,1954,7,17,2,224,1677,0.13357
4290,1954,7,18,1,811,2948,0.27510
4290,1954,7,18,2,501,2446,0.20482
4290,1954,7,19,1,1242,4192,0.29628
4290,1954,7,19,2,846,3627,0.23325
4290,1954,7,20,1,1571,5101,0.30798
4290,1954,7,20,2,1226,4842,0.25320
4290,1954,7,21,1,1706,5614,0.30388
4290,1954,7,21,2,1685,5757,0.29269
4290,1954,7,22,1,1415,4697,0.30126
4290,1954,7,22,2,1573,5368,0.29303
4290,1954,7,23,1,1015,3755,0.27031
4290,1954,7,23,2,1366,5147,0.26540
4290,1955,7,1,1,9364,35542,0.26346
4290,1955,7,1,2,7662,33092,0.23154
4290,1955,7,2,1,0,1070,0.00000
4290,1955,7,2,2,0,801,0.00000
4290,1955,7,3,1,0,89,0.00000
4290,1955,7,3,2,0,64,0.00000
4290,1955,7,4,1,0,67,0.00000
4290,1955,7,4,2,0,47,0.00000
4290,1955,7,5,1,0,48,0.00000
4290,1955,7,5,2,0,39,0.00000
4290,1955,7,6,1,0,53,0.00000
4290,1955,7,6,2,0,27,0.00000
4290,1955,7,7,1,0,198,0.00000
4290,1955,7,7,2,0,138,0.00000
4290,1955,7,8,1,0,134,0.00000
4290,1955,7,8,2,0,77,0.00000
4290,1955,7,9,1,1,225,0.00444
4290,1955,7,9,2,0,95,0.00000
4290,1955,7,10,1,2,263,0.00760
4290,1955,7,10,2,1,122,0.00820
4290,1955,7,11,1,4,276,0.01449
4290,1955,7,11,2,0,172,0.00000
4290,1955,7,12,1,13,388,0.03351
4290,1955,7,12,2,3,224,0.01339
4290,1955,7,13,1,26,507,0.05128
4290,1955,7,13,2,9,365,0.02466
4290,1955,7,14,1,79,703,0.11238
4290,1955,7,14,2,20,562,0.03559
4290,1955,7,15,1,191,1080,0.17685
4290,1955,7,15,2,58,854,0.06792
4290,1955,7,16,1,343,1575,0.21778
4290,1955,7,16,2,106,1243,0.08528
4290,1955,7,17,1,672,2363,0.28438
4290,1955,7,17,2,218,1691,0.12892
4290,1955,7,18,1,920,3123,0.29459
4290,1955,7,18,2,425,2353,0.18062
4290,1955,7,19,1,1272,4036,0.31516
4290,1955,7,19,2,880,3538,0.24873
4290,1955,7,20,1,1591,5054,0.31480
4290,1955,7,20,2,1324,4814,0.27503
4290,1955,7,21,1,1804,5709,0.31599
4290,1955,7,21,2,1697,5786,0.29329
4290,1955,7,22,1,1453,4770,0.30461
4290,1955,7,22,2,1560,5234,0.29805
4290,1955,7,23,1,993,3811,0.26056
4290,1955,7,23,2,1361,4846,0.28085
4290,1956,7,1,1,10023,36683,0.27323
4290,1956,7,1,2,8038,33522,0.23978
4290,1956,7,2,1,0,1067,0.00000
4290,1956,7,2,2,0,804,0.00000
4290,1956,7,3,1,0,84,0.00000
4290,1956,7,3,2,0,61,0.00000
4290,1956,7,4,1,0,66,0.00000
4290,1956,7,4,2,0,52,0.00000
4290,1956,7,5,1,0,57,0.00000
4290,1956,7,5,2,0,24,0.00000
4290,1956,7,6,1,0,37,0.00000
4290,1956,7,6,2,0,33,0.00000
4290,1956,7,7,1,0,194,0.00000
4290,1956,7,7,2,0,99,0.00000
4290,1956,7,8,1,0,124,0.00000
4290,1956,7,8,2,0,83,0.00000
4290,1956,7,9,1,2,245,0.00816
4290,1956,7,9,2,1,109,0.00917
