WHOREGION	FLUSEASON	HEMISPHERE	ITZ	COUNTRY_CODE	COUNTRY_AREA_TERRITORY	ISO_WEEKSTARTDATE	ISO_YEAR	ISO_WEEK	MMWR_WEEKSTARTDATE	MMWR_YEAR	MMWR_WEEK	ORIGIN_SOURCE	SPEC_PROCESSED_NB	SPEC_RECEIVED_NB	AH1N12009	AH1	AH3	AH5	AH7N9	ANOTSUBTYPED	ANOTSUBTYPABLE	AOTHER_SUBTYPE	AOTHER_SUBTYPE_DETAILS	INF_A	BVIC_2DEL	BVIC_3DEL	BVIC_NODEL	BVIC_DELUNK	BYAM	BNOTDETERMINED	INF_B	INF_ALL	INF_NEGATIVE	ILI_ACTIVITY	ADENO	BOCA	HUMAN_CORONA	METAPNEUMO	PARAINFLUENZA	RHINO	RSV_PROCESSED	RSV	OTHERRESPVIRUS	OTHER_RESPVIRUS_DETAILS	LAB_RESULT_COMMENT	WCR_COMMENT	ISO2	ISOYW	MMWRYW	PSOURCE_SUBTYPE_INF	PSOURCE_PPOS_INF	PSOURCE_RSV
EUR	NH	NH	FLU_NTH_EUR	SWE	Sweden	2013-09-30	2013	40	2013-09-29	2013	40	NONSENTINEL	228		1	0	0			1				2			0		0	0	0	2										1					SE	201340	201340			
EUR	NH	NH	FLU_NTH_EUR	SWE	Sweden	2013-10-07	2013	41	2013-10-06	2013	41	NONSENTINEL	271		1	0	0			0				1			0		0	0	0	1										0					SE	201341	201341			
EUR	NH	NH	FLU_NTH_EUR	SWE	Sweden	2013-10-14	2013	42	2013-10-13	2013	42	NONSENTINEL	281		3	0	0			0				3			0		0	0	0	3										3					SE	201342	201342			
EUR	NH	NH	FLU_NTH_EUR	SWE	Sweden	2013-10-21	2013	43	2013-10-20	2013	43	NONSENTINEL	327		2	0	0			0				2			0		0	0	0	2										2					SE	201343	201343			
EUR	NH	NH	FLU_NTH_EUR	SWE	Sweden	2013-10-28	2013	44	2013-10-27	2013	44	NONSENTINEL	311		3	0	1			1				5			0		0	1	1	6										1					SE	201344	201344			
EUR	NH	NH	FLU_NTH_EUR	SWE	Sweden	2013-11-04	2013	45	2013-11-03	2013	45	NONSENTINEL	327		2	0	1			1				4			0		0	0	0	4										1					SE	201345	201345			
EUR	NH	NH	FLU_NTH_EUR	SWE	Sweden	2013-11-11	2013	46	2013-11-10	2013	46	NONSENTINEL	384		3	0	0			5				8			0		0	1	1	9										2					SE	201346	201346			
EUR	NH	NH	FLU_NTH_EUR	SWE	Sweden	2013-11-18	2013	47	2013-11-17	2013	47	NONSENTINEL	395		0	0	0			0				0			0		1	0	1	1										4					SE	201347	201347			
EUR	NH	NH	FLU_NTH_EUR	SWE	Sweden	2013-11-25	2013	48	2013-11-24	2013	48	NONSENTINEL	402		6	0	1			3				10			0		0	1	1	11										2					SE	201348	201348			
EUR	NH	NH	FLU_NTH_EUR	SWE	Sweden	2013-12-02	2013	49	2013-12-01	2013	49	NONSENTINEL	464		7	0	3			1				11			0		1	1	2	13										14					SE	201349	201349			
EUR	NH	NH	FLU_NTH_EUR	SWE	Sweden	2013-12-09	2013	50	2013-12-08	2013	50	NONSENTINEL	499		33	0	2			3				38			0		0	1	1	39										15					SE	201350	201350			
EUR	NH	NH	FLU_NTH_EUR	SWE	Sweden	2013-12-16	2013	51	2013-12-15	2013	51	NONSENTINEL	709		62	0	3			14				79			1		2	0	3	82										14					SE	201351	201351			
EUR	NH	NH	FLU_NTH_EUR	SWE	Sweden	2013-12-23	2013	52	2013-12-22	2013	52	NONSENTINEL	492		51	0	2			10				63			0		1	2	3	66										16					SE	201352	201352			
EUR	NH	NH	FLU_NTH_EUR	SWE	Sweden	2013-12-30	2014	1	2013-12-29	2014	1	NONSENTINEL	671		72	0	3			9				84			0		0	4	4	88										19					SE	201401	201401			
EUR	NH	NH	FLU_NTH_EUR	SWE	Sweden	2014-01-06	2014	2	2014-01-05	2014	2	NONSENTINEL	629		61	0	4			9				74			0		0	2	2	76										20					SE	201402	201402			
EUR	NH	NH	FLU_NTH_EUR	SWE	Sweden	2014-01-13	2014	3	2014-01-12	2014	3	NONSENTINEL	787		54	0	3			10				67			0		0	4	4	71										25					SE	201403	201403			
EUR	NH	NH	FLU_NTH_EUR	SWE	Sweden	2014-01-20	2014	4	2014-01-19	2014	4	NONSENTINEL	791		82	0	0			17				99			0		0	6	6	105										40					SE	201404	201404			
EUR	NH	NH	FLU_NTH_EUR	SWE	Sweden	2014-01-27	2014	5	2014-01-26	2014	5	NONSENTINEL	856		118	0	3			22				143			0		0	6	6	149										51					SE	201405	201405			
EUR	NH	NH	FLU_NTH_EUR	SWE	Sweden	2014-02-03	2014	6	2014-02-02	2014	6	NONSENTINEL	1068		184	0	15			33				232			0		0	12	12	244										69					SE	201406	201406			
EUR	NH	NH	FLU_NTH_EUR	SWE	Sweden	2014-02-10	2014	7	2014-02-09	2014	7	NONSENTINEL	1311		205	0	30			41				276			0		0	9	9	285										90					SE	201407	201407			
EUR	NH	NH	FLU_NTH_EUR	SWE	Sweden	2014-02-17	2014	8	2014-02-16	2014	8	NONSENTINEL	1447		214	0	35			32				281			0		0	16	16	297										135					SE	201408	201408			
EUR	NH	NH	FLU_NTH_EUR	SWE	Sweden	2014-02-24	2014	9	2014-02-23	2014	9	NONSENTINEL	1444		156	0	13			46				215			0		0	9	9	224										129					SE	201409	201409			
EUR	NH	NH	FLU_NTH_EUR	SWE	Sweden	2014-03-03	2014	10	2014-03-02	2014	10	NONSENTINEL	1281		140	0	14			31				185			0		0	8	8	193										140					SE	201410	201410			
EUR	NH	NH	FLU_NTH_EUR	SWE	Sweden	2014-03-10	2014	11	2014-03-09	2014	11	NONSENTINEL	1086		85	0	9			28				122			0		0	13	13	135										113					SE	201411	201411			
EUR	NH	NH	FLU_NTH_EUR	SWE	Sweden	2014-03-17	2014	12	2014-03-16	2014	12	NONSENTINEL	988		58	0	6			24				88			0		0	10	10	98										154					SE	201412	201412			
EUR	NH	NH	FLU_NTH_EUR	SWE	Sweden	2014-03-24	2014	13	2014-03-23	2014	13	NONSENTINEL	857		40	0	4			17				61			0		0	18	18	79										121					SE	201413	201413			
EUR	NH	NH	FLU_NTH_EUR	SWE	Sweden	2014-03-31	2014	14	2014-03-30	2014	14	NONSENTINEL	782		35	0	3			24				62			0		0	14	14	76										153					SE	201414	201414			
EUR	NH	NH	FLU_NTH_EUR	SWE	Sweden	2014-04-07	2014	15	2014-04-06	2014	15	NONSENTINEL	753		24	0	3			36				63			0		0	21	21	84										139					SE	201415	201415			
EUR	NH	NH	FLU_NTH_EUR	SWE	Sweden	2014-04-14	2014	16	2014-04-13	2014	16	NONSENTINEL	632		15	0	2			17				34			0		0	18	18	52										122					SE	201416	201416			
EUR	NH	NH	FLU_NTH_EUR	SWE	Sweden	2014-04-21	2014	17	2014-04-20	2014	17	NONSENTINEL	538		11	0	2			13				26			0		0	17	17	43										97					SE	201417	201417			
EUR	NH	NH	FLU_NTH_EUR	SWE	Sweden	2014-04-28	2014	18	2014-04-27	2014	18	NONSENTINEL	486		1	0	3			9				13			0		0	4	4	17										77					SE	201418	201418			
EUR	NH	NH	FLU_NTH_EUR	SWE	Sweden	2014-05-05	2014	19	2014-05-04	2014	19	NONSENTINEL	404		4	0	4			5				13			0		0	6	6	19										59					SE	201419	201419			
EUR	NH	NH	FLU_NTH_EUR	SWE	Sweden	2014-09-29	2014	40	2014-09-28	2014	40	NONSENTINEL	346		0	0	0			0				0			0		0	0	0											10					SE	201440	201440			
EUR	NH	NH	FLU_NTH_EUR	SWE	Sweden	2014-10-06	2014	41	2014-10-05	2014	41	NONSENTINEL	364		0	0	0			1				1			0		0	0	0	1										5					SE	201441	201441			
EUR	NH	NH	FLU_NTH_EUR	SWE	Sweden	2014-10-13	2014	42	2014-10-12	2014	42	NONSENTINEL	376		0	0	2			0				2			0		0	0	0	2										8					SE	201442	201442			
EUR	NH	NH	FLU_NTH_EUR	SWE	Sweden	2014-10-20	2014	43	2014-10-19	2014	43	NONSENTINEL	467		2	0	1			0				3			0		0	5	5	8										9					SE	201443	201443			
EUR	NH	NH	FLU_NTH_EUR	SWE	Sweden	2014-10-27	2014	44	2014-10-26	2014	44	NONSENTINEL	433		0	0	1			0				1			0		0	1	1	2										13					SE	201444	201444			
EUR	NH	NH	FLU_NTH_EUR	SWE	Sweden	2014-11-03	2014	45	2014-11-02	2014	45	NONSENTINEL	547		1	0	2			3				6			0		0	3	3	9										20					SE	201445	201445			
EUR	NH	NH	FLU_NTH_EUR	SWE	Sweden	2014-11-10	2014	46	2014-11-09	2014	46	NONSENTINEL	519		2	0	0			3				5			0		0	1	1	6										22					SE	201446	201446			
EUR	NH	NH	FLU_NTH_EUR	SWE	Sweden	2014-11-17	2014	47	2014-11-16	2014	47	NONSENTINEL	602		0	0	2			2				4			0		0	0	0	4										45					SE	201447	201447			
EUR	NH	NH	FLU_NTH_EUR	SWE	Sweden	2014-11-24	2014	48	2014-11-23	2014	48	NONSENTINEL	527		0	0	8			0				8			0		0	3	3	11										70					SE	201448	201448			
EUR	NH	NH	FLU_NTH_EUR	SWE	Sweden	2014-12-01	2014	49	2014-11-30	2014	49	NONSENTINEL	578		0	0	7			0				7			0		0	2	2	9										73					SE	201449	201449			
EUR	NH	NH	FLU_NTH_EUR	SWE	Sweden	2014-12-08	2014	50	2014-12-07	2014	50	NONSENTINEL	682		4	0	10			5				19			0		0	5	5	24										119					SE	201450	201450			
EUR	NH	NH	FLU_NTH_EUR	SWE	Sweden	2014-12-15	2014	51	2014-12-14	2014	51	NONSENTINEL	819		1	0	8			15				24			0		0	11	11	35										194					SE	201451	201451			
EUR	NH	NH	FLU_NTH_EUR	SWE	Sweden	2014-12-22	2014	52	2014-12-21	2014	52	NONSENTINEL	633		1	0	14			26				41			0		0	7	7	48										167					SE	201452	201452			
EUR	NH	NH	FLU_NTH_EUR	SWE	Sweden	2014-12-29	2015	1	2014-12-28	2014	53	NONSENTINEL	819		6	0	21			55				82			0		0	18	18	100										264					SE	201501	201453			
EUR	NH	NH	FLU_NTH_EUR	SWE	Sweden	2015-01-05	2015	2	2015-01-04	2015	1	NONSENTINEL	972		10	0	20			127				157			0		0	11	11	168										225					SE	201502	201501			
EUR	NH	NH	FLU_NTH_EUR	SWE	Sweden	2015-01-12	2015	3	2015-01-11	2015	2	NONSENTINEL	1169		10	0	43			161				214			0		0	25	25	239										250					SE	201503	201502			
EUR	NH	NH	FLU_NTH_EUR	SWE	Sweden	2015-01-19	2015	4	2015-01-18	2015	3	NONSENTINEL	1134		12	0	38			186				236			0		0	32	32	268										285					SE	201504	201503			
EUR	NH	NH	FLU_NTH_EUR	SWE	Sweden	2015-01-26	2015	5	2015-01-25	2015	4	NONSENTINEL	1586		21	0	71			272				364			0		0	60	60	424										425					SE	201505	201504			
EUR	NH	NH	FLU_NTH_EUR	SWE	Sweden	2015-02-02	2015	6	2015-02-01	2015	5	NONSENTINEL	1978		36	0	119			354				509			0		0	97	97	606										421					SE	201506	201505			
EUR	NH	NH	FLU_NTH_EUR	SWE	Sweden	2015-02-09	2015	7	2015-02-08	2015	6	NONSENTINEL	2636		64	0	193			521				778			0		0	169	169	947										458					SE	201507	201506			
EUR	NH	NH	FLU_NTH_EUR	SWE	Sweden	2015-02-16	2015	8	2015-02-15	2015	7	NONSENTINEL	3122		82	0	212			561				855			0		0	259	259	1114										395					SE	201508	201507			
EUR	NH	NH	FLU_NTH_EUR	SWE	Sweden	2015-02-23	2015	9	2015-02-22	2015	8	NONSENTINEL	3078		75	0	198			515				788			0		0	288	288	1076										388					SE	201509	201508			
EUR	NH	NH	FLU_NTH_EUR	SWE	Sweden	2015-03-02	2015	10	2015-03-01	2015	9	NONSENTINEL	2976		65	0	230			452				747			0		0	329	329	1076										339					SE	201510	201509			
EUR	NH	NH	FLU_NTH_EUR	SWE	Sweden	2015-03-09	2015	11	2015-03-08	2015	10	NONSENTINEL	2677		68	0	177			279				524			0		0	338	338	862										235					SE	201511	201510			
EUR	NH	NH	FLU_NTH_EUR	SWE	Sweden	2015-03-16	2015	12	2015-03-15	2015	11	NONSENTINEL	2226		44	0	137			128				309			0		0	317	317	626										206					SE	201512	201511			
EUR	NH	NH	FLU_NTH_EUR	SWE	Sweden	2015-03-23	2015	13	2015-03-22	2015	12	NONSENTINEL	2181		49	0	97			134				280			0		0	348	348	628										126					SE	201513	201512			
EUR	NH	NH	FLU_NTH_EUR	SWE	Sweden	2015-03-30	2015	14	2015-03-29	2015	13	NONSENTINEL	1892		41	0	122			64				227			0		0	375	375	602										105					SE	201514	201513			
EUR	NH	NH	FLU_NTH_EUR	SWE	Sweden	2015-04-06	2015	15	2015-04-05	2015	14	NONSENTINEL	1801		30	0	108			61				199			0		0	353	353	552										72					SE	201515	201514			
EUR	NH	NH	FLU_NTH_EUR	SWE	Sweden	2015-04-13	2015	16	2015-04-12	2015	15	NONSENTINEL	1716		17	0	66			25				108			0		0	234	234	342										63					SE	201516	201515			
EUR	NH	NH	FLU_NTH_EUR	SWE	Sweden	2015-04-20	2015	17	2015-04-19	2015	16	NONSENTINEL	1328		9	0	57			10				76			0		0	190	190	266										39					SE	201517	201516			
EUR	NH	NH	FLU_NTH_EUR	SWE	Sweden	2015-04-27	2015	18	2015-04-26	2015	17	NONSENTINEL	950		10	0	38			4				52			0		0	112	112	164										27					SE	201518	201517			
EUR	NH	NH	FLU_NTH_EUR	SWE	Sweden	2015-05-04	2015	19	2015-05-03	2015	18	NONSENTINEL	889		3	0	32			6				41			0		0	78	78	119										19					SE	201519	201518			
EUR	NH	NH	FLU_NTH_EUR	SWE	Sweden	2015-05-11	2015	20	2015-05-10	2015	19	NONSENTINEL	645		0	0	5			0				5			0		0	42	42	47										21					SE	201520	201519			
EUR	NH	NH	FLU_NTH_EUR	SWE	Sweden	2015-05-18	2015	21	2015-05-17	2015	20	NONSENTINEL	0		0	0	0			9				9			0		0	21	21	30										0					SE	201521	201520			
EUR	NH	NH	FLU_NTH_EUR	SWE	Sweden	2015-05-25	2015	22	2015-05-24	2015	21	NONSENTINEL	0		1	0	0			2				3			0		0	10	10	13										0					SE	201522	201521			
EUR	NH	NH	FLU_NTH_EUR	SWE	Sweden	2015-06-01	2015	23	2015-05-31	2015	22	NONSENTINEL	0		0	0	0			1				1			0		0	6	6	7										0					SE	201523	201522			
EUR	NH	NH	FLU_NTH_EUR	SWE	Sweden	2015-06-08	2015	24	2015-06-07	2015	23	NONSENTINEL	0		0	0	0			1				1			0		0	7	7	8										0					SE	201524	201523			
EUR	NH	NH	FLU_NTH_EUR	SWE	Sweden	2015-06-15	2015	25	2015-06-14	2015	24	NONSENTINEL	0		0	0	0			2				2			0		0	0	0	2										0					SE	201525	201524			
EUR	NH	NH	FLU_NTH_EUR	SWE	Sweden	2015-06-22	2015	26	2015-06-21	2015	25	NONSENTINEL	0		0	0	0			0				0			0		0	2	2	2										0					SE	201526	201525			
EUR	NH	NH	FLU_NTH_EUR	SWE	Sweden	2015-06-29	2015	27	2015-06-28	2015	26	NONSENTINEL	0		0	0	0			1				1			0		0	1	1	2										0					SE	201527	201526			
EUR	NH	NH	FLU_NTH_EUR	SWE	Sweden	2015-07-06	2015	28	2015-07-05	2015	27	NONSENTINEL	0		0	0	0			2				2			0		0	0	0	2										0					SE	201528	201527			
EUR	NH	NH	FLU_NTH_EUR	SWE	Sweden	2015-07-13	2015	29	2015-07-12	2015	28	NONSENTINEL	0		0	0	0			0				0			0		0	0	0											0					SE	201529	201528			
EUR	NH	NH	FLU_NTH_EUR	SWE	Sweden	2015-07-20	2015	30	2015-07-19	2015	29	NONSENTINEL	0		0	0	0			0				0			0		0	0	0											0					SE	201530	201529			
EUR	NH	NH	FLU_NTH_EUR	SWE	Sweden	2015-07-27	2015	31	2015-07-26	2015	30	NONSENTINEL	0		0	0	0			1				1			0		0	1	1	2										0					SE	201531	201530			
EUR	NH	NH	FLU_NTH_EUR	SWE	Sweden	2015-08-03	2015	32	2015-08-02	2015	31	NONSENTINEL	0		2	0	0			0				2			0		0	0	0	2										0					SE	201532	201531			
EUR	NH	NH	FLU_NTH_EUR	SWE	Sweden	2015-08-10	2015	33	2015-08-09	2015	32	NONSENTINEL	0		0	0	0			0				0			0		0	0	0											0					SE	201533	201532			
EUR	NH	NH	FLU_NTH_EUR	SWE	Sweden	2015-08-17	2015	34	2015-08-16	2015	33	NONSENTINEL	0		0	0	0			0				0			0		0	0	0											0					SE	201534	201533			
EUR	NH	NH	FLU_NTH_EUR	SWE	Sweden	2015-08-24	2015	35	2015-08-23	2015	34	NONSENTINEL	0		1	0	0			0				1			0		0	0	0	1										0					SE	201535	201534			
EUR	NH	NH	FLU_NTH_EUR	SWE	Sweden	2015-08-31	2015	36	2015-08-30	2015	35	NONSENTINEL	0		1	0	0			0				1			0		0	0	0	1										0					SE	201536	201535			
EUR	NH	NH	FLU_NTH_EUR	SWE	Sweden	2015-09-14	2015	38	2015-09-13	2015	37	NONSENTINEL	0		0	0	0			0				0			0		0	0	0											0					SE	201538	201537			
EUR	NH	NH	FLU_NTH_EUR	SWE	Sweden	2015-09-21	2015	39	2015-09-20	2015	38	NONSENTINEL	0		1	0	0			0				1			0		0	0	0	1										0					SE	201539	201538			
EUR	NH	NH	FLU_NTH_EUR	SWE	Sweden	2015-09-28	2015	40	2015-09-27	2015	39	NONSENTINEL	363		0	0	3			1				4			0		0	0	0	4										2					SE	201540	201539			
EUR	NH	NH	FLU_NTH_EUR	SWE	Sweden	2015-10-05	2015	41	2015-10-04	2015	40	NONSENTINEL	400		1	0	3			2				6			0		0	2	2	8										2					SE	201541	201540			
EUR	NH	NH	FLU_NTH_EUR	SWE	Sweden	2015-10-12	2015	42	2015-10-11	2015	41	NONSENTINEL	446		4	0	1			1				6			0		0	0	0	6										1					SE	201542	201541			
EUR	NH	NH	FLU_NTH_EUR	SWE	Sweden	2015-10-19	2015	43	2015-10-18	2015	42	NONSENTINEL	438		5	0	4			0				9			0		0	0	0	9										0					SE	201543	201542			
EUR	NH	NH	FLU_NTH_EUR	SWE	Sweden	2015-10-26	2015	44	2015-10-25	2015	43	NONSENTINEL	424		2	0	2			0				4			0		0	0	0	4										1					SE	201544	201543			
EUR	NH	NH	FLU_NTH_EUR	SWE	Sweden	2015-11-02	2015	45	2015-11-01	2015	44	NONSENTINEL	527		8	0	0			3				11			0		0	0	0	11										4					SE	201545	201544			
EUR	NH	NH	FLU_NTH_EUR	SWE	Sweden	2015-11-09	2015	46	2015-11-08	2015	45	NONSENTINEL	555		15	0	2			3				20			0		0	2	2	22										4					SE	201546	201545			
EUR	NH	NH	FLU_NTH_EUR	SWE	Sweden	2015-11-16	2015	47	2015-11-15	2015	46	NONSENTINEL	653		22	0	5			13				40			0		1	3	4	44										8					SE	201547	201546			
EUR	NH	NH	FLU_NTH_EUR	SWE	Sweden	2015-11-23	2015	48	2015-11-22	2015	47	NONSENTINEL	742		11	0	6			30				47			0		0	0	0	47										14					SE	201548	201547			
EUR	NH	NH	FLU_NTH_EUR	SWE	Sweden	2015-11-30	2015	49	2015-11-29	2015	48	NONSENTINEL	884		19	0	3			65				87			0		0	1	1	88										15					SE	201549	201548			
EUR	NH	NH	FLU_NTH_EUR	SWE	Sweden	2015-12-07	2015	50	2015-12-06	2015	49	NONSENTINEL	1036		24	0	8			88				120			1		0	2	3	123										17					SE	201550	201549			
EUR	NH	NH	FLU_NTH_EUR	SWE	Sweden	2015-12-14	2015	51	2015-12-13	2015	50	NONSENTINEL	1165		38	0	2			139				179			0		0	3	3	182										15					SE	201551	201550			
EUR	NH	NH	FLU_NTH_EUR	SWE	Sweden	2015-12-21	2015	52	2015-12-20	2015	51	NONSENTINEL	1267		96	0	4			166				266			0		0	2	2	268										43					SE	201552	201551			
EUR	NH	NH	FLU_NTH_EUR	SWE	Sweden	2015-12-28	2015	53	2015-12-27	2015	52	NONSENTINEL	1553		94	0	3			166				263			2		0	8	10	273										32					SE	201553	201552			
EUR	NH	NH	FLU_NTH_EUR	SWE	Sweden	2016-01-04	2016	1	2016-01-03	2016	1	NONSENTINEL	1689		53	0	4			207				264			0		2	10	12	276										48					SE	201601	201601			
EUR	NH	NH	FLU_NTH_EUR	SWE	Sweden	2016-01-11	2016	2	2016-01-10	2016	2	NONSENTINEL	1736		52	0	3			195				250			0		0	14	14	264										40					SE	201602	201602			
EUR	NH	NH	FLU_NTH_EUR	SWE	Sweden	2016-01-18	2016	3	2016-01-17	2016	3	NONSENTINEL	1785		97	0	0			326				423			1		0	22	23	446										55					SE	201603	201603			
EUR	NH	NH	FLU_NTH_EUR	SWE	Sweden	2016-01-25	2016	4	2016-01-24	2016	4	NONSENTINEL	2265		184	0	4			512				700			2		0	38	40	740										105					SE	201604	201604			
EUR	NH	NH	FLU_NTH_EUR	SWE	Sweden	2016-02-01	2016	5	2016-01-31	2016	5	NONSENTINEL	2939		249	0	5			609				863			7		0	42	49	912										124					SE	201605	201605			
EUR	NH	NH	FLU_NTH_EUR	SWE	Sweden	2016-02-08	2016	6	2016-02-07	2016	6	NONSENTINEL	3136		276	0	8			624				908			6		0	96	102	1010										177					SE	201606	201606			
EUR	NH	NH	FLU_NTH_EUR	SWE	Sweden	2016-02-15	2016	7	2016-02-14	2016	7	NONSENTINEL	3243		214	0	10			483				707			7		0	103	110	817										157					SE	201607	201607			
EUR	NH	NH	FLU_NTH_EUR	SWE	Sweden	2016-02-22	2016	8	2016-02-21	2016	8	NONSENTINEL	3149		195	0	10			309				514			6		0	169	175	689										213					SE	201608	201608			
EUR	NH	NH	FLU_NTH_EUR	SWE	Sweden	2016-02-29	2016	9	2016-02-28	2016	9	NONSENTINEL	2871		123	0	4			247				374			5		1	240	246	620										267					SE	201609	201609			
EUR	NH	NH	FLU_NTH_EUR	SWE	Sweden	2016-03-07	2016	10	2016-03-06	2016	10	NONSENTINEL	2396		74	0	5			167				246			0		0	267	267	513										216					SE	201610	201610			
EUR	NH	NH	FLU_NTH_EUR	SWE	Sweden	2016-03-14	2016	11	2016-03-13	2016	11	NONSENTINEL	2057		0	0	0			147				147			0		0	282	282	429										193					SE	201611	201611			
EUR	NH	NH	FLU_NTH_EUR	SWE	Sweden	2016-03-21	2016	12	2016-03-20	2016	12	NONSENTINEL	1911		0	0	0			111				111			0		0	291	291	402										221					SE	201612	201612			
EUR	NH	NH	FLU_NTH_EUR	SWE	Sweden	2016-03-28	2016	13	2016-03-27	2016	13	NONSENTINEL	1753		0	0	0			78				78			0		0	252	252	330										223					SE	201613	201613			
EUR	NH	NH	FLU_NTH_EUR	SWE	Sweden	2016-04-04	2016	14	2016-04-03	2016	14	NONSENTINEL	1486		0	0	0			43				43			0		0	179	179	222										185					SE	201614	201614			
EUR	NH	NH	FLU_NTH_EUR	SWE	Sweden	2016-04-11	2016	15	2016-04-10	2016	15	NONSENTINEL	1242		0	0	0			15				15			0		0	116	116	131										135					SE	201615	201615			
EUR	NH	NH	FLU_NTH_EUR	SWE	Sweden	2016-04-18	2016	16	2016-04-17	2016	16	NONSENTINEL	1116		0	0	0			15				15			0		0	73	73	88										147					SE	201616	201616			
