Vecka	Säsong	Typ av influensa	Indikator	Åldersgrupp	Kön	Influensa, fall efter ålder, kön och vecka (säsong).
v 40	2025-2026	Influensa A	Antal fall per 100 000 inv	0-4 år	Kvinnor	0.8
v 40	2025-2026	Influensa A	Antal fall per 100 000 inv	0-4 år	Män	0.4
v 40	2025-2026	Influensa A	Antal fall per 100 000 inv	5-14 år	Kvinnor	0.0
v 40	2025-2026	Influensa A	Antal fall per 100 000 inv	5-14 år	Män	0.0
v 40	2025-2026	Influensa A	Antal fall per 100 000 inv	15-39 år	Kvinnor	0.2
v 40	2025-2026	Influensa A	Antal fall per 100 000 inv	15-39 år	Män	0.1
v 40	2025-2026	Influensa A	Antal fall per 100 000 inv	40-64 år	Kvinnor	0.3
v 40	2025-2026	Influensa A	Antal fall per 100 000 inv	40-64 år	Män	0.1
v 40	2025-2026	Influensa A	Antal fall per 100 000 inv	65- år	Kvinnor	0.7
v 40	2025-2026	Influensa A	Antal fall per 100 000 inv	65- år	Män	0.7
v 41	2025-2026	Influensa A	Antal fall per 100 000 inv	0-4 år	Kvinnor	0.4
v 41	2025-2026	Influensa A	Antal fall per 100 000 inv	0-4 år	Män	0.4
v 41	2025-2026	Influensa A	Antal fall per 100 000 inv	5-14 år	Kvinnor	0.0
v 41	2025-2026	Influensa A	Antal fall per 100 000 inv	5-14 år	Män	0.2
v 41	2025-2026	Influensa A	Antal fall per 100 000 inv	15-39 år	Kvinnor	0.1
v 41	2025-2026	Influensa A	Antal fall per 100 000 inv	15-39 år	Män	0.1
v 41	2025-2026	Influensa A	Antal fall per 100 000 inv	40-64 år	Kvinnor	0.1
v 41	2025-2026	Influensa A	Antal fall per 100 000 inv	40-64 år	Män	0.2
v 41	2025-2026	Influensa A	Antal fall per 100 000 inv	65- år	Kvinnor	0.8
v 41	2025-2026	Influensa A	Antal fall per 100 000 inv	65- år	Män	1.0
v 42	2025-2026	Influensa A	Antal fall per 100 000 inv	0-4 år	Kvinnor	0.8
v 42	2025-2026	Influensa A	Antal fall per 100 000 inv	0-4 år	Män	1.1
v 42	2025-2026	Influensa A	Antal fall per 100 000 inv	5-14 år	Kvinnor	0.0
v 42	2025-2026	Influensa A	Antal fall per 100 000 inv	5-14 år	Män	0.3
v 42	2025-2026	Influensa A	Antal fall per 100 000 inv	15-39 år	Kvinnor	0.1
v 42	2025-2026	Influensa A	Antal fall per 100 000 inv	15-39 år	Män	0.2
v 42	2025-2026	Influensa A	Antal fall per 100 000 inv	40-64 år	Kvinnor	0.2
v 42	2025-2026	Influensa A	Antal fall per 100 000 inv	40-64 år	Män	0.1
v 42	2025-2026	Influensa A	Antal fall per 100 000 inv	65- år	Kvinnor	1.6
v 42	2025-2026	Influensa A	Antal fall per 100 000 inv	65- år	Män	2.1
v 43	2025-2026	Influensa A	Antal fall per 100 000 inv	0-4 år	Kvinnor	0.0
v 43	2025-2026	Influensa A	Antal fall per 100 000 inv	0-4 år	Män	0.0
v 43	2025-2026	Influensa A	Antal fall per 100 000 inv	5-14 år	Kvinnor	0.2
v 43	2025-2026	Influensa A	Antal fall per 100 000 inv	5-14 år	Män	0.2
v 43	2025-2026	Influensa A	Antal fall per 100 000 inv	15-39 år	Kvinnor	0.1
v 43	2025-2026	Influensa A	Antal fall per 100 000 inv	15-39 år	Män	0.1
v 43	2025-2026	Influensa A	Antal fall per 100 000 inv	40-64 år	Kvinnor	0.4
v 43	2025-2026	Influensa A	Antal fall per 100 000 inv	40-64 år	Män	0.4
v 43	2025-2026	Influensa A	Antal fall per 100 000 inv	65- år	Kvinnor	1.4
v 43	2025-2026	Influensa A	Antal fall per 100 000 inv	65- år	Män	1.6
v 44	2025-2026	Influensa A	Antal fall per 100 000 inv	0-4 år	Kvinnor	0.4
v 44	2025-2026	Influensa A	Antal fall per 100 000 inv	0-4 år	Män	1.1
v 44	2025-2026	Influensa A	Antal fall per 100 000 inv	5-14 år	Kvinnor	0.2
v 44	2025-2026	Influensa A	Antal fall per 100 000 inv	5-14 år	Män	0.2
v 44	2025-2026	Influensa A	Antal fall per 100 000 inv	15-39 år	Kvinnor	0.3
v 44	2025-2026	Influensa A	Antal fall per 100 000 inv	15-39 år	Män	0.1
v 44	2025-2026	Influensa A	Antal fall per 100 000 inv	40-64 år	Kvinnor	0.7
v 44	2025-2026	Influensa A	Antal fall per 100 000 inv	40-64 år	Män	0.2
v 44	2025-2026	Influensa A	Antal fall per 100 000 inv	65- år	Kvinnor	1.7
v 44	2025-2026	Influensa A	Antal fall per 100 000 inv	65- år	Män	1.3
v 45	2025-2026	Influensa A	Antal fall per 100 000 inv	0-4 år	Kvinnor	0.4
v 45	2025-2026	Influensa A	Antal fall per 100 000 inv	0-4 år	Män	0.4
v 45	2025-2026	Influensa A	Antal fall per 100 000 inv	5-14 år	Kvinnor	0.3
v 45	2025-2026	Influensa A	Antal fall per 100 000 inv	5-14 år	Män	0.0
v 45	2025-2026	Influensa A	Antal fall per 100 000 inv	15-39 år	Kvinnor	0.4
v 45	2025-2026	Influensa A	Antal fall per 100 000 inv	15-39 år	Män	0.1
v 45	2025-2026	Influensa A	Antal fall per 100 000 inv	40-64 år	Kvinnor	0.6
v 45	2025-2026	Influensa A	Antal fall per 100 000 inv	40-64 år	Män	0.2
v 45	2025-2026	Influensa A	Antal fall per 100 000 inv	65- år	Kvinnor	1.5
v 45	2025-2026	Influensa A	Antal fall per 100 000 inv	65- år	Män	0.8
v 46	2025-2026	Influensa A	Antal fall per 100 000 inv	0-4 år	Kvinnor	0.8
v 46	2025-2026	Influensa A	Antal fall per 100 000 inv	0-4 år	Män	2.2
v 46	2025-2026	Influensa A	Antal fall per 100 000 inv	5-14 år	Kvinnor	0.0
v 46	2025-2026	Influensa A	Antal fall per 100 000 inv	5-14 år	Män	0.5
v 46	2025-2026	Influensa A	Antal fall per 100 000 inv	15-39 år	Kvinnor	0.4
v 46	2025-2026	Influensa A	Antal fall per 100 000 inv	15-39 år	Män	0.2
v 46	2025-2026	Influensa A	Antal fall per 100 000 inv	40-64 år	Kvinnor	0.4
v 46	2025-2026	Influensa A	Antal fall per 100 000 inv	40-64 år	Män	0.7
v 46	2025-2026	Influensa A	Antal fall per 100 000 inv	65- år	Kvinnor	2.4
v 46	2025-2026	Influensa A	Antal fall per 100 000 inv	65- år	Män	1.7
v 47	2025-2026	Influensa A	Antal fall per 100 000 inv	0-4 år	Kvinnor	1.6
v 47	2025-2026	Influensa A	Antal fall per 100 000 inv	0-4 år	Män	2.6
v 47	2025-2026	Influensa A	Antal fall per 100 000 inv	5-14 år	Kvinnor	1.5
v 47	2025-2026	Influensa A	Antal fall per 100 000 inv	5-14 år	Män	1.9
v 47	2025-2026	Influensa A	Antal fall per 100 000 inv	15-39 år	Kvinnor	1.4
v 47	2025-2026	Influensa A	Antal fall per 100 000 inv	15-39 år	Män	1.0
v 47	2025-2026	Influensa A	Antal fall per 100 000 inv	40-64 år	Kvinnor	1.1
v 47	2025-2026	Influensa A	Antal fall per 100 000 inv	40-64 år	Män	1.2
v 47	2025-2026	Influensa A	Antal fall per 100 000 inv	65- år	Kvinnor	2.7
v 47	2025-2026	Influensa A	Antal fall per 100 000 inv	65- år	Män	4.0
v 48	2025-2026	Influensa A	Antal fall per 100 000 inv	0-4 år	Kvinnor	3.1
v 48	2025-2026	Influensa A	Antal fall per 100 000 inv	0-4 år	Män	3.7
v 48	2025-2026	Influensa A	Antal fall per 100 000 inv	5-14 år	Kvinnor	2.3
v 48	2025-2026	Influensa A	Antal fall per 100 000 inv	5-14 år	Män	2.4
v 48	2025-2026	Influensa A	Antal fall per 100 000 inv	15-39 år	Kvinnor	3.2
v 48	2025-2026	Influensa A	Antal fall per 100 000 inv	15-39 år	Män	2.3
v 48	2025-2026	Influensa A	Antal fall per 100 000 inv	40-64 år	Kvinnor	2.0
v 48	2025-2026	Influensa A	Antal fall per 100 000 inv	40-64 år	Män	2.2
v 48	2025-2026	Influensa A	Antal fall per 100 000 inv	65- år	Kvinnor	8.4
v 48	2025-2026	Influensa A	Antal fall per 100 000 inv	65- år	Män	8.7
v 49	2025-2026	Influensa A	Antal fall per 100 000 inv	0-4 år	Kvinnor	11.7
v 49	2025-2026	Influensa A	Antal fall per 100 000 inv	0-4 år	Män	12.6
v 49	2025-2026	Influensa A	Antal fall per 100 000 inv	5-14 år	Kvinnor	5.3
v 49	2025-2026	Influensa A	Antal fall per 100 000 inv	5-14 år	Män	6.4
v 49	2025-2026	Influensa A	Antal fall per 100 000 inv	15-39 år	Kvinnor	7.2
v 49	2025-2026	Influensa A	Antal fall per 100 000 inv	15-39 år	Män	3.7
v 49	2025-2026	Influensa A	Antal fall per 100 000 inv	40-64 år	Kvinnor	5.1
v 49	2025-2026	Influensa A	Antal fall per 100 000 inv	40-64 år	Män	4.4
v 49	2025-2026	Influensa A	Antal fall per 100 000 inv	65- år	Kvinnor	13.9
v 49	2025-2026	Influensa A	Antal fall per 100 000 inv	65- år	Män	16.2
v 50	2025-2026	Influensa A	Antal fall per 100 000 inv	0-4 år	Kvinnor	22.3
v 50	2025-2026	Influensa A	Antal fall per 100 000 inv	0-4 år	Män	18.9
v 50	2025-2026	Influensa A	Antal fall per 100 000 inv	5-14 år	Kvinnor	7.8
v 50	2025-2026	Influensa A	Antal fall per 100 000 inv	5-14 år	Män	7.2
v 50	2025-2026	Influensa A	Antal fall per 100 000 inv	15-39 år	Kvinnor	11.3
v 50	2025-2026	Influensa A	Antal fall per 100 000 inv	15-39 år	Män	4.9
v 50	2025-2026	Influensa A	Antal fall per 100 000 inv	40-64 år	Kvinnor	7.8
v 50	2025-2026	Influensa A	Antal fall per 100 000 inv	40-64 år	Män	6.9
v 50	2025-2026	Influensa A	Antal fall per 100 000 inv	65- år	Kvinnor	25.2
v 50	2025-2026	Influensa A	Antal fall per 100 000 inv	65- år	Män	23.6
v 51	2025-2026	Influensa A	Antal fall per 100 000 inv	0-4 år	Kvinnor	28.2
v 51	2025-2026	Influensa A	Antal fall per 100 000 inv	0-4 år	Män	27.1
v 51	2025-2026	Influensa A	Antal fall per 100 000 inv	5-14 år	Kvinnor	10.8
v 51	2025-2026	Influensa A	Antal fall per 100 000 inv	5-14 år	Män	10.7
v 51	2025-2026	Influensa A	Antal fall per 100 000 inv	15-39 år	Kvinnor	14.2
v 51	2025-2026	Influensa A	Antal fall per 100 000 inv	15-39 år	Män	5.7
v 51	2025-2026	Influensa A	Antal fall per 100 000 inv	40-64 år	Kvinnor	8.8
v 51	2025-2026	Influensa A	Antal fall per 100 000 inv	40-64 år	Män	8.0
v 51	2025-2026	Influensa A	Antal fall per 100 000 inv	65- år	Kvinnor	35.8
v 51	2025-2026	Influensa A	Antal fall per 100 000 inv	65- år	Män	34.2
v 52	2025-2026	Influensa A	Antal fall per 100 000 inv	0-4 år	Kvinnor	25.0
v 52	2025-2026	Influensa A	Antal fall per 100 000 inv	0-4 år	Män	27.8
v 52	2025-2026	Influensa A	Antal fall per 100 000 inv	5-14 år	Kvinnor	8.0
v 52	2025-2026	Influensa A	Antal fall per 100 000 inv	5-14 år	Män	6.7
v 52	2025-2026	Influensa A	Antal fall per 100 000 inv	15-39 år	Kvinnor	12.4
v 52	2025-2026	Influensa A	Antal fall per 100 000 inv	15-39 år	Män	5.6
v 52	2025-2026	Influensa A	Antal fall per 100 000 inv	40-64 år	Kvinnor	10.2
v 52	2025-2026	Influensa A	Antal fall per 100 000 inv	40-64 år	Män	7.4
v 52	2025-2026	Influensa A	Antal fall per 100 000 inv	65- år	Kvinnor	41.6
v 52	2025-2026	Influensa A	Antal fall per 100 000 inv	65- år	Män	42.0
v 53	2025-2026	Influensa A	Antal fall per 100 000 inv	0-4 år	Kvinnor	.
v 53	2025-2026	Influensa A	Antal fall per 100 000 inv	0-4 år	Män	.
v 53	2025-2026	Influensa A	Antal fall per 100 000 inv	5-14 år	Kvinnor	.
v 53	2025-2026	Influensa A	Antal fall per 100 000 inv	5-14 år	Män	.
v 53	2025-2026	Influensa A	Antal fall per 100 000 inv	15-39 år	Kvinnor	.
v 53	2025-2026	Influensa A	Antal fall per 100 000 inv	15-39 år	Män	.
v 53	2025-2026	Influensa A	Antal fall per 100 000 inv	40-64 år	Kvinnor	.
v 53	2025-2026	Influensa A	Antal fall per 100 000 inv	40-64 år	Män	.
v 53	2025-2026	Influensa A	Antal fall per 100 000 inv	65- år	Kvinnor	.
v 53	2025-2026	Influensa A	Antal fall per 100 000 inv	65- år	Män	.
v 01	2025-2026	Influensa A	Antal fall per 100 000 inv	0-4 år	Kvinnor	25.4
v 01	2025-2026	Influensa A	Antal fall per 100 000 inv	0-4 år	Män	22.6
v 01	2025-2026	Influensa A	Antal fall per 100 000 inv	5-14 år	Kvinnor	4.5
v 01	2025-2026	Influensa A	Antal fall per 100 000 inv	5-14 år	Män	3.6
v 01	2025-2026	Influensa A	Antal fall per 100 000 inv	15-39 år	Kvinnor	13.1
v 01	2025-2026	Influensa A	Antal fall per 100 000 inv	15-39 år	Män	6.6
v 01	2025-2026	Influensa A	Antal fall per 100 000 inv	40-64 år	Kvinnor	10.9
v 01	2025-2026	Influensa A	Antal fall per 100 000 inv	40-64 år	Män	9.8
v 01	2025-2026	Influensa A	Antal fall per 100 000 inv	65- år	Kvinnor	58.4
v 01	2025-2026	Influensa A	Antal fall per 100 000 inv	65- år	Män	59.4
v 02	2025-2026	Influensa A	Antal fall per 100 000 inv	0-4 år	Kvinnor	15.3
v 02	2025-2026	Influensa A	Antal fall per 100 000 inv	0-4 år	Män	14.5
v 02	2025-2026	Influensa A	Antal fall per 100 000 inv	5-14 år	Kvinnor	2.8
v 02	2025-2026	Influensa A	Antal fall per 100 000 inv	5-14 år	Män	5.3
v 02	2025-2026	Influensa A	Antal fall per 100 000 inv	15-39 år	Kvinnor	9.2
v 02	2025-2026	Influensa A	Antal fall per 100 000 inv	15-39 år	Män	4.8
v 02	2025-2026	Influensa A	Antal fall per 100 000 inv	40-64 år	Kvinnor	8.3
v 02	2025-2026	Influensa A	Antal fall per 100 000 inv	40-64 år	Män	7.3
v 02	2025-2026	Influensa A	Antal fall per 100 000 inv	65- år	Kvinnor	37.0
v 02	2025-2026	Influensa A	Antal fall per 100 000 inv	65- år	Män	38.5
v 03	2025-2026	Influensa A	Antal fall per 100 000 inv	0-4 år	Kvinnor	11.3
v 03	2025-2026	Influensa A	Antal fall per 100 000 inv	0-4 år	Män	17.1
v 03	2025-2026	Influensa A	Antal fall per 100 000 inv	5-14 år	Kvinnor	3.2
v 03	2025-2026	Influensa A	Antal fall per 100 000 inv	5-14 år	Män	4.6
v 03	2025-2026	Influensa A	Antal fall per 100 000 inv	15-39 år	Kvinnor	5.7
v 03	2025-2026	Influensa A	Antal fall per 100 000 inv	15-39 år	Män	3.1
v 03	2025-2026	Influensa A	Antal fall per 100 000 inv	40-64 år	Kvinnor	5.6
v 03	2025-2026	Influensa A	Antal fall per 100 000 inv	40-64 år	Män	5.8
v 03	2025-2026	Influensa A	Antal fall per 100 000 inv	65- år	Kvinnor	25.4
v 03	2025-2026	Influensa A	Antal fall per 100 000 inv	65- år	Män	28.7
v 04	2025-2026	Influensa A	Antal fall per 100 000 inv	0-4 år	Kvinnor	12.5
v 04	2025-2026	Influensa A	Antal fall per 100 000 inv	0-4 år	Män	12.6
v 04	2025-2026	Influensa A	Antal fall per 100 000 inv	5-14 år	Kvinnor	4.7
v 04	2025-2026	Influensa A	Antal fall per 100 000 inv	5-14 år	Män	5.8
v 04	2025-2026	Influensa A	Antal fall per 100 000 inv	15-39 år	Kvinnor	5.8
v 04	2025-2026	Influensa A	Antal fall per 100 000 inv	15-39 år	Män	3.2
v 04	2025-2026	Influensa A	Antal fall per 100 000 inv	40-64 år	Kvinnor	5.6
v 04	2025-2026	Influensa A	Antal fall per 100 000 inv	40-64 år	Män	3.9
v 04	2025-2026	Influensa A	Antal fall per 100 000 inv	65- år	Kvinnor	21.7
v 04	2025-2026	Influensa A	Antal fall per 100 000 inv	65- år	Män	26.4
v 05	2025-2026	Influensa A	Antal fall per 100 000 inv	0-4 år	Kvinnor	19.2
v 05	2025-2026	Influensa A	Antal fall per 100 000 inv	0-4 år	Män	13.3
v 05	2025-2026	Influensa A	Antal fall per 100 000 inv	5-14 år	Kvinnor	5.7
v 05	2025-2026	Influensa A	Antal fall per 100 000 inv	5-14 år	Män	7.5
v 05	2025-2026	Influensa A	Antal fall per 100 000 inv	15-39 år	Kvinnor	6.5
v 05	2025-2026	Influensa A	Antal fall per 100 000 inv	15-39 år	Män	3.5
v 05	2025-2026	Influensa A	Antal fall per 100 000 inv	40-64 år	Kvinnor	5.2
v 05	2025-2026	Influensa A	Antal fall per 100 000 inv	40-64 år	Män	5.1
v 05	2025-2026	Influensa A	Antal fall per 100 000 inv	65- år	Kvinnor	25.0
v 05	2025-2026	Influensa A	Antal fall per 100 000 inv	65- år	Män	28.8
v 06	2025-2026	Influensa A	Antal fall per 100 000 inv	0-4 år	Kvinnor	14.5
v 06	2025-2026	Influensa A	Antal fall per 100 000 inv	0-4 år	Män	17.1
