ctry	name	count_all	yr_min_all	yr_max_all	count	yr_min	yr_max
4120	Germany, West Berlin	15	1955	1970	3	1955	1957
4160	Iceland	74	1951	2024	1	1973	1973
3150	Israel	74	1950	2023	10	1965	1974
2040	Barbados	49	1960	2013	1	1975	1975
4050	Denmark	72	1951	2022	7	1958	1975
2090	Canada	75	1950	2024	17	1961	1978
4220	Norway	74	1951	2024	15	1961	1981
5150	New Zealand	71	1950	2020	31	1950	1981
4300	Switzerland	73	1951	2023	25	1954	1984
4308	United Kingdom	74	1950	2024	33	1950	1984
4310	United Kingdom, England and Wales	75	1950	2024	33	1950	1984
2050	Bermuda	32	1971	2021	2	1971	1985
2450	United States of America	74	1950	2023	36	1950	1985
4170	Ireland	73	1950	2022	25	1960	1985
4280	Spain	74	1951	2024	7	1979	1985
4180	Italy	73	1951	2023	22	1965	1987
4205	Monaco	2	1986	1987	2	1986	1987
4320	United Kingdom, Northern Ireland	75	1950	2024	36	1952	1987
5020	Australia	74	1950	2024	38	1950	1987
4330	United Kingdom, Scotland	75	1950	2024	39	1950	1988
4090	Germany, Former Democratic Republic	17	1973	1990	17	1973	1990
4100	Germany, Former Federal Republic	39	1952	1990	15	1976	1990
4190	Luxembourg	58	1967	2024	21	1968	1990
4304	USSR, Former	9	1982	1990	9	1982	1990
4340	Yugoslavia, Former	30	1961	1990	13	1978	1990
4040	Czechoslovakia, Former	39	1953	1991	24	1968	1991
4240	Portugal	63	1955	2022	1	1991	1991
4276	Slovenia	40	1985	2024	9	1985	1994
4290	Sweden	74	1951	2024	43	1952	1994
4070	Finland	73	1952	2024	39	1956	1995
4200	Malta	57	1965	2022	22	1965	1999
4350	Serbia and Montenegro, Former	6	1997	2002	6	1997	2002
4010	Austria	70	1955	2024	37	1967	2003
4085	Germany	33	1990	2022	14	1990	2003
1300	Mauritius	64	1961	2024	8	1997	2004
4301	Tajikistan	30	1981	2022	4	2002	2005
4012	Azerbaijan	23	1981	2007	22	1982	2007
2455	Virgin Islands (USA)	23	1980	2023	1	2008	2008
3400	Turkey	39	1983	2023	18	1988	2008
4140	Greece	61	1961	2022	25	1983	2008
4005	Albania	21	1987	2009	12	1998	2009
4084	Georgia	37	1981	2024	23	1981	2009
4182	Kazakhstan	42	1981	2024	25	1985	2009
4207	Montenegro	12	2000	2019	10	2000	2009
3370	Syrian Arab Republic	23	1973	2010	4	2005	2010
4302	Turkmenistan	33	1981	2015	17	1996	2012
4045	Czech Republic	39	1986	2024	30	1986	2015
4230	Poland	64	1959	2024	36	1978	2015
4038	Croatia	38	1985	2023	32	1985	2016
4272	Russian Federation	40	1980	2019	38	1980	2017
4018	Belarus	28	1981	2018	28	1981	2018
4025	Bosnia and Herzegovina	18	1985	2024	10	1987	2018
4195	North Macedonia	33	1991	2024	27	1991	2018
1125	Egypt	47	1955	2019	4	2014	2019
4303	Ukraine	35	1981	2019	35	1981	2019
4030	Bulgaria	60	1964	2023	60	1964	2023
4184	Kyrgyzstan	41	1981	2023	24	2000	2023
4260	Republic of Moldova	41	1981	2023	36	1981	2023
4270	Romania	64	1959	2023	58	1963	2023
4274	Slovakia	31	1992	2024	24	1992	2023
4007	Armenia	40	1981	2024	38	1981	2024
4055	Estonia	42	1981	2024	42	1981	2024
4150	Hungary	70	1955	2024	63	1961	2024
4186	Latvia	45	1980	2024	45	1980	2024
4188	Lithuania	42	1981	2024	42	1981	2024
4273	Serbia	27	1998	2024	24	1998	2024
4335	Uzbekistan	39	1981	2024	29	1993	2024
